Time records (guesses, time):
Guesses: 170685, Time: 0.006151 seconds
Guesses: 315647, Time: 0.011403 seconds
Guesses: 459774, Time: 0.014088 seconds
Guesses: 559924, Time: 0.021506 seconds
Guesses: 660105, Time: 0.023465 seconds
Guesses: 730968, Time: 0.024864 seconds
Guesses: 731068, Time: 0.025094 seconds
Guesses: 797589, Time: 0.026437 seconds
Guesses: 797689, Time: 0.02667 seconds
Guesses: 862659, Time: 0.027977 seconds
Guesses: 862669, Time: 0.028212 seconds
Guesses: 862769, Time: 0.028431 seconds
Guesses: 927462, Time: 0.029747 seconds
Guesses: 927472, Time: 0.029973 seconds
Guesses: 927482, Time: 0.030217 seconds
Guesses: 977126, Time: 0.031256 seconds
Guesses: 977136, Time: 0.031468 seconds
Guesses: 977146, Time: 0.031687 seconds
Guesses: 977156, Time: 0.031904 seconds
Guesses: 977166, Time: 0.032136 seconds
Guesses: 977176, Time: 0.032347 seconds
Guesses: 977186, Time: 0.032564 seconds
Guesses: 977196, Time: 0.032775 seconds
Guesses: 977296, Time: 0.033001 seconds
Guesses: 977396, Time: 0.033274 seconds
Guesses: 977496, Time: 0.033502 seconds
Guesses: 977596, Time: 0.033719 seconds
Guesses: 1017695, Time: 0.034597 seconds
Guesses: 1051391, Time: 0.047293 seconds
Guesses: 2102792, Time: 0.049289 seconds
Guesses: 1051411, Time: 0.049503 seconds
Guesses: 1051421, Time: 0.049773 seconds
Guesses: 1051431, Time: 0.049993 seconds
Guesses: 1051441, Time: 0.050211 seconds
Guesses: 1051451, Time: 0.050427 seconds
Guesses: 1051461, Time: 0.050644 seconds
Guesses: 1051471, Time: 0.050886 seconds
Guesses: 1051481, Time: 0.051104 seconds
Guesses: 1051491, Time: 0.051321 seconds
Guesses: 1051501, Time: 0.05153 seconds
Guesses: 1051601, Time: 0.05176 seconds
Guesses: 1051701, Time: 0.051971 seconds
Guesses: 1051801, Time: 0.05219 seconds
Guesses: 1061575, Time: 0.052577 seconds
Guesses: 1062575, Time: 0.05283 seconds
Guesses: 1089613, Time: 0.053258 seconds
Guesses: 1089623, Time: 0.053475 seconds
Guesses: 1089633, Time: 0.053693 seconds
Guesses: 1089643, Time: 0.053948 seconds
Guesses: 1089653, Time: 0.054159 seconds
Guesses: 1089663, Time: 0.054367 seconds
Guesses: 1089763, Time: 0.054576 seconds
Guesses: 1090763, Time: 0.054837 seconds
Guesses: 1090863, Time: 0.055057 seconds
Guesses: 1090963, Time: 0.055271 seconds
Guesses: 1091063, Time: 0.055489 seconds
Guesses: 1091163, Time: 0.055698 seconds
Guesses: 1091263, Time: 0.055924 seconds
Guesses: 1091363, Time: 0.056138 seconds
Guesses: 1101137, Time: 0.056524 seconds
Guesses: 1101237, Time: 0.056761 seconds
Guesses: 1101337, Time: 0.056972 seconds
Guesses: 1111111, Time: 0.057365 seconds
Guesses: 1120885, Time: 0.057795 seconds
Guesses: 1121885, Time: 0.058022 seconds
Guesses: 1121895, Time: 0.058241 seconds
Guesses: 1121905, Time: 0.058458 seconds
Guesses: 1122905, Time: 0.058691 seconds
Guesses: 1122915, Time: 0.058927 seconds
Guesses: 1122925, Time: 0.059145 seconds
Guesses: 1123925, Time: 0.059376 seconds
Guesses: 1123935, Time: 0.059588 seconds
Guesses: 1124035, Time: 0.059816 seconds
Guesses: 1125035, Time: 0.060042 seconds
Guesses: 1125135, Time: 0.060252 seconds
Guesses: 1126135, Time: 0.060485 seconds
Guesses: 1126235, Time: 0.060694 seconds
Guesses: 1126335, Time: 0.060922 seconds
Guesses: 1136109, Time: 0.061316 seconds
Guesses: 1145883, Time: 0.061701 seconds
Guesses: 1155657, Time: 0.062123 seconds
Guesses: 1155757, Time: 0.062373 seconds
Guesses: 1165531, Time: 0.06279 seconds
Guesses: 1165631, Time: 0.063003 seconds
Guesses: 1165731, Time: 0.063213 seconds
Guesses: 1175505, Time: 0.063605 seconds
Guesses: 1185279, Time: 0.064018 seconds
Guesses: 1195053, Time: 0.064405 seconds
Guesses: 1216344, Time: 0.064776 seconds
Guesses: 1216354, Time: 0.064995 seconds
Guesses: 1217354, Time: 0.06523 seconds
Guesses: 1233862, Time: 0.065527 seconds
Guesses: 1233872, Time: 0.065781 seconds
Guesses: 1234872, Time: 0.066008 seconds
Guesses: 1234882, Time: 0.066224 seconds
Guesses: 1235882, Time: 0.066459 seconds
Guesses: 1235892, Time: 0.066672 seconds
Guesses: 1236892, Time: 0.066928 seconds
Guesses: 1236902, Time: 0.067138 seconds
Guesses: 1237902, Time: 0.067365 seconds
Guesses: 1237912, Time: 0.067576 seconds
Guesses: 1238912, Time: 0.067823 seconds
Guesses: 1239912, Time: 0.068052 seconds
Guesses: 1240912, Time: 0.068286 seconds
Guesses: 1241012, Time: 0.068499 seconds
Guesses: 1242012, Time: 0.06875 seconds
Guesses: 1242112, Time: 0.068962 seconds
Guesses: 1242212, Time: 0.069176 seconds
Guesses: 1242312, Time: 0.069386 seconds
Guesses: 1242412, Time: 0.069596 seconds
Guesses: 1242512, Time: 0.06984 seconds
Guesses: 1242612, Time: 0.070054 seconds
Guesses: 1252386, Time: 0.070449 seconds
