Time records (guesses, time):
Guesses: 170685, Time: 0.002165 seconds
Guesses: 315647, Time: 0.005758 seconds
Guesses: 459774, Time: 0.010485 seconds
Guesses: 559924, Time: 0.011559 seconds
Guesses: 660105, Time: 0.018431 seconds
Guesses: 730968, Time: 0.019278 seconds
Guesses: 731068, Time: 0.019518 seconds
Guesses: 797589, Time: 0.020247 seconds
Guesses: 797689, Time: 0.020617 seconds
Guesses: 862659, Time: 0.021293 seconds
Guesses: 862669, Time: 0.02155 seconds
Guesses: 862769, Time: 0.0218 seconds
Guesses: 927462, Time: 0.022509 seconds
Guesses: 927472, Time: 0.022794 seconds
Guesses: 927482, Time: 0.023025 seconds
Guesses: 977126, Time: 0.023606 seconds
Guesses: 977136, Time: 0.023857 seconds
Guesses: 977146, Time: 0.024232 seconds
Guesses: 977156, Time: 0.024473 seconds
Guesses: 977166, Time: 0.024699 seconds
Guesses: 977176, Time: 0.02493 seconds
Guesses: 977186, Time: 0.025172 seconds
Guesses: 977196, Time: 0.025478 seconds
Guesses: 977296, Time: 0.025719 seconds
Guesses: 977396, Time: 0.025952 seconds
Guesses: 977496, Time: 0.026218 seconds
Guesses: 977596, Time: 0.026457 seconds
Guesses: 1017695, Time: 0.02695 seconds
Guesses: 1051391, Time: 0.027391 seconds
Guesses: 1051401, Time: 0.029629 seconds
Guesses: 1051411, Time: 0.029881 seconds
Guesses: 1051421, Time: 0.030144 seconds
Guesses: 1051431, Time: 0.030397 seconds
Guesses: 1051441, Time: 0.030638 seconds
Guesses: 1051451, Time: 0.030872 seconds
Guesses: 1051461, Time: 0.031133 seconds
Guesses: 1051471, Time: 0.031366 seconds
Guesses: 1051481, Time: 0.031601 seconds
Guesses: 1051491, Time: 0.031834 seconds
Guesses: 1051501, Time: 0.032083 seconds
Guesses: 1051601, Time: 0.03232 seconds
Guesses: 1051701, Time: 0.032552 seconds
Guesses: 1051801, Time: 0.032787 seconds
Guesses: 1061575, Time: 0.0331 seconds
Guesses: 1062575, Time: 0.033344 seconds
Guesses: 1089613, Time: 0.033627 seconds
Guesses: 1089623, Time: 0.03386 seconds
Guesses: 1089633, Time: 0.034103 seconds
Guesses: 1089643, Time: 0.034351 seconds
Guesses: 1089653, Time: 0.03458 seconds
Guesses: 1089663, Time: 0.034809 seconds
Guesses: 1089763, Time: 0.03508 seconds
Guesses: 1090763, Time: 0.035322 seconds
Guesses: 1090863, Time: 0.035554 seconds
Guesses: 1090963, Time: 0.035783 seconds
Guesses: 1091063, Time: 0.036049 seconds
Guesses: 1091163, Time: 0.036279 seconds
