Time records (guesses, time):
Guesses: 170685, Time: 0.002573 seconds
Guesses: 315647, Time: 0.006566 seconds
Guesses: 459774, Time: 0.01183 seconds
Guesses: 559924, Time: 0.013317 seconds
Guesses: 660105, Time: 0.020589 seconds
Guesses: 730968, Time: 0.021691 seconds
Guesses: 731068, Time: 0.022013 seconds
Guesses: 797589, Time: 0.023016 seconds
Guesses: 797689, Time: 0.02337 seconds
Guesses: 862659, Time: 0.024355 seconds
Guesses: 862669, Time: 0.02465 seconds
Guesses: 862769, Time: 0.025 seconds
Guesses: 927462, Time: 0.026007 seconds
Guesses: 927472, Time: 0.026322 seconds
Guesses: 927482, Time: 0.026665 seconds
Guesses: 977126, Time: 0.027467 seconds
Guesses: 977136, Time: 0.027778 seconds
Guesses: 977146, Time: 0.028095 seconds
Guesses: 977156, Time: 0.028423 seconds
Guesses: 977166, Time: 0.028752 seconds
Guesses: 977176, Time: 0.02909 seconds
Guesses: 977186, Time: 0.029435 seconds
Guesses: 977196, Time: 0.029748 seconds
Guesses: 977296, Time: 0.030069 seconds
Guesses: 977396, Time: 0.030403 seconds
Guesses: 977496, Time: 0.030718 seconds
Guesses: 977596, Time: 0.031043 seconds
Guesses: 1017695, Time: 0.03176 seconds
Guesses: 1051391, Time: 0.032358 seconds
Guesses: 1051401, Time: 0.034513 seconds
Guesses: 1051411, Time: 0.034868 seconds
Guesses: 1051421, Time: 0.035199 seconds
Guesses: 1051431, Time: 0.03552 seconds
Guesses: 1051441, Time: 0.035851 seconds
Guesses: 1051451, Time: 0.036197 seconds
Guesses: 1051461, Time: 0.036519 seconds
Guesses: 1051471, Time: 0.036882 seconds
Guesses: 1051481, Time: 0.0372 seconds
Guesses: 1051491, Time: 0.037516 seconds
Guesses: 1051501, Time: 0.03786 seconds
Guesses: 1051601, Time: 0.038184 seconds
Guesses: 1051701, Time: 0.038502 seconds
Guesses: 1051801, Time: 0.03885 seconds
Guesses: 1061575, Time: 0.039249 seconds
Guesses: 1062575, Time: 0.039599 seconds
Guesses: 1089613, Time: 0.040017 seconds
Guesses: 1089623, Time: 0.040334 seconds
Guesses: 1089633, Time: 0.040685 seconds
Guesses: 1089643, Time: 0.041104 seconds
Guesses: 1089653, Time: 0.041419 seconds
Guesses: 1089663, Time: 0.041739 seconds
Guesses: 1089763, Time: 0.042061 seconds
Guesses: 1090763, Time: 0.042392 seconds
Guesses: 1090863, Time: 0.042726 seconds
Guesses: 1090963, Time: 0.043079 seconds
Guesses: 1091063, Time: 0.04339 seconds
Guesses: 1091163, Time: 0.043754 seconds
Guesses: 1091263, Time: 0.044081 seconds
Guesses: 1091363, Time: 0.044429 seconds
Guesses: 1101137, Time: 0.044902 seconds
Guesses: 1101237, Time: 0.045228 seconds
Guesses: 1101337, Time: 0.045567 seconds
Guesses: 1111111, Time: 0.045965 seconds
Guesses: 1120885, Time: 0.046359 seconds
Guesses: 1121885, Time: 0.046697 seconds
Guesses: 1121895, Time: 0.047018 seconds
Guesses: 1121905, Time: 0.047396 seconds
Guesses: 1122905, Time: 0.047727 seconds
Guesses: 1122915, Time: 0.048046 seconds
Guesses: 1122925, Time: 0.048397 seconds
Guesses: 1123925, Time: 0.048753 seconds
Guesses: 1123935, Time: 0.049082 seconds
Guesses: 1124035, Time: 0.049406 seconds
Guesses: 1125035, Time: 0.049746 seconds
Guesses: 1125135, Time: 0.050089 seconds
Guesses: 1126135, Time: 0.050436 seconds
Guesses: 1126235, Time: 0.050769 seconds
Guesses: 1126335, Time: 0.051091 seconds
Guesses: 1136109, Time: 0.051492 seconds
Guesses: 1145883, Time: 0.051913 seconds
Guesses: 1155657, Time: 0.052335 seconds
Guesses: 1155757, Time: 0.052727 seconds
Guesses: 1165531, Time: 0.053135 seconds
Guesses: 1165631, Time: 0.053449 seconds
Guesses: 1165731, Time: 0.053809 seconds
Guesses: 1175505, Time: 0.054228 seconds
Guesses: 1185279, Time: 0.05463 seconds
Guesses: 1195053, Time: 0.055023 seconds
Guesses: 1216344, Time: 0.055401 seconds
Guesses: 1216354, Time: 0.055707 seconds
Guesses: 1217354, Time: 0.056048 seconds
Guesses: 1233862, Time: 0.056568 seconds
Guesses: 1233872, Time: 0.056858 seconds
Guesses: 1234872, Time: 0.05719 seconds
Guesses: 1234882, Time: 0.057503 seconds
Guesses: 1235882, Time: 0.058012 seconds
Guesses: 1235892, Time: 0.058369 seconds
Guesses: 1236892, Time: 0.058715 seconds
Guesses: 1236902, Time: 0.059036 seconds
Guesses: 1237902, Time: 0.059365 seconds
Guesses: 1237912, Time: 0.059723 seconds
Guesses: 1238912, Time: 0.060239 seconds
Guesses: 1239912, Time: 0.060597 seconds
Guesses: 1240912, Time: 0.060924 seconds
Guesses: 1241012, Time: 0.061269 seconds
Guesses: 1242012, Time: 0.06162 seconds
Guesses: 1242112, Time: 0.061935 seconds
Guesses: 1242212, Time: 0.062251 seconds
Guesses: 1242312, Time: 0.062614 seconds
Guesses: 1242412, Time: 0.062914 seconds
Guesses: 1242512, Time: 0.063227 seconds
Guesses: 1242612, Time: 0.063564 seconds
Guesses: 1252386, Time: 0.063957 seconds
Guesses: 1253386, Time: 0.064311 seconds
Guesses: 1265010, Time: 0.064652 seconds
Guesses: 1265020, Time: 0.064973 seconds
Guesses: 1265030, Time: 0.065294 seconds
Guesses: 1265040, Time: 0.06562 seconds
Guesses: 1265050, Time: 0.065939 seconds
Guesses: 1266050, Time: 0.066265 seconds
Guesses: 1266060, Time: 0.066643 seconds
Guesses: 1267060, Time: 0.066965 seconds
Guesses: 1268060, Time: 0.067293 seconds
Guesses: 1268160, Time: 0.067631 seconds
Guesses: 1269160, Time: 0.067956 seconds
Guesses: 1270160, Time: 0.06831 seconds
Guesses: 1270260, Time: 0.068671 seconds
Guesses: 1271260, Time: 0.069 seconds
Guesses: 1271360, Time: 0.069322 seconds
Guesses: 1272360, Time: 0.069673 seconds
Guesses: 1282134, Time: 0.070061 seconds
Guesses: 1282234, Time: 0.07039 seconds
Guesses: 1282334, Time: 0.070725 seconds
Guesses: 1292108, Time: 0.071121 seconds
Guesses: 1292208, Time: 0.071437 seconds
Guesses: 1301982, Time: 0.071864 seconds
Guesses: 1311756, Time: 0.072284 seconds
Guesses: 1311856, Time: 0.072629 seconds
Guesses: 1322489, Time: 0.072935 seconds
Guesses: 1360626, Time: 0.073425 seconds
Guesses: 1360636, Time: 0.073737 seconds
Guesses: 1360646, Time: 0.074071 seconds
Guesses: 1360656, Time: 0.074379 seconds
Guesses: 1360666, Time: 0.074705 seconds
Guesses: 1360676, Time: 0.075018 seconds
Guesses: 1360686, Time: 0.075331 seconds
Guesses: 1360696, Time: 0.075658 seconds
Guesses: 1360706, Time: 0.075973 seconds
Guesses: 1360716, Time: 0.07631 seconds
Guesses: 1361716, Time: 0.076666 seconds
Guesses: 1361726, Time: 0.077003 seconds
Guesses: 1362726, Time: 0.077335 seconds
Guesses: 1362826, Time: 0.077675 seconds
Guesses: 1363826, Time: 0.078011 seconds
Guesses: 1363926, Time: 0.078354 seconds
Guesses: 1364026, Time: 0.078692 seconds
Guesses: 1365026, Time: 0.079017 seconds
Guesses: 1365126, Time: 0.079357 seconds
Guesses: 1365226, Time: 0.079697 seconds
Guesses: 1366226, Time: 0.080049 seconds
Guesses: 1366326, Time: 0.080395 seconds
Guesses: 1376100, Time: 0.080836 seconds
Guesses: 1376200, Time: 0.081163 seconds
Guesses: 1385974, Time: 0.08158 seconds
Guesses: 1395748, Time: 0.081974 seconds
Guesses: 1395848, Time: 0.082294 seconds
Guesses: 1405622, Time: 0.082707 seconds
Guesses: 1415396, Time: 0.083107 seconds
Guesses: 1425170, Time: 0.0835 seconds
Guesses: 1434944, Time: 0.083905 seconds
Guesses: 1444718, Time: 0.084339 seconds
Guesses: 1544868, Time: 0.085555 seconds
Guesses: 1544878, Time: 0.085903 seconds
Guesses: 1544888, Time: 0.086221 seconds
Guesses: 1645038, Time: 0.087366 seconds
