round,value,pos,encoding,final_encoding,is_recode,update_start,update_end,updated_rows
1,apple,0,256,256,0,,,0
2,apple,0,128,128,0,,,0
3,apple,2,384,384,0,,,0
4,apple,0,64,64,0,,,0
5,apple,2,192,192,0,,,0
6,apple,0,32,32,0,,,0
7,apple,3,160,160,0,,,0
8,apple,7,448,448,0,,,0
9,apple,7,416,416,0,,,0
10,apple,6,320,320,0,,,0
11,apple,3,144,144,0,,,0
12,apple,1,48,48,0,,,0
13,apple,7,224,224,0,,,0
14,apple,0,16,16,0,,,0
15,apple,14,480,480,0,,,0
16,apple,12,400,400,0,,,0
17,apple,13,408,408,0,,,0
18,apple,0,8,8,0,,,0
19,apple,14,404,404,0,,,0
20,apple,8,176,176,0,,,0
21,apple,7,152,152,0,,,0
22,apple,18,412,412,0,,,0
23,apple,3,40,40,0,,,0
24,apple,10,168,168,0,,,0
25,apple,0,4,4,0,,,0
26,apple,0,2,2,0,,,0
27,apple,0,1,1,0,,,0
28,apple,20,392,392,0,,,0
29,apple,17,240,240,0,,,0
30,apple,0,0,0,1,0,512,29
31,apple,30,503,503,0,,,0
32,apple,24,400,400,0,,,0
33,apple,13,213,213,0,,,0
34,apple,27,417,417,0,,,0
35,apple,1,9,9,0,,,0
36,apple,33,485,485,0,,,0
37,apple,14,209,209,0,,,0
38,apple,28,404,404,0,,,0
39,apple,31,421,421,0,,,0
40,apple,35,468,468,0,,,0
41,apple,14,207,207,0,,,0
42,apple,22,298,298,0,,,0
43,apple,14,206,206,0,,,0
44,apple,43,508,508,0,,,0
45,apple,14,205,205,0,,,0
46,apple,29,366,366,0,,,0
47,apple,18,211,211,0,,,0
48,apple,1,5,5,0,,,0
49,apple,26,294,294,0,,,0
50,apple,35,396,396,0,,,0
