model,source_length,sample_count,exact_match,bleu
seq2seq_rnn,5,10,0.1,0.27484016483115375
seq2seq_rnn,6,145,0.22758620689655173,0.3552411001232803
seq2seq_rnn,7,229,0.34497816593886466,0.5008097389611703
seq2seq_rnn,8,208,0.2692307692307692,0.4557926942221983
seq2seq_rnn,9,227,0.23348017621145375,0.4239917074031587
seq2seq_rnn,10,134,0.23134328358208955,0.4320823337044754
seq2seq_rnn,11,100,0.26,0.4461586813500906
seq2seq_attn,5,10,0.1,0.3103785662948114
seq2seq_attn,6,145,0.2620689655172414,0.40167294940313947
seq2seq_attn,7,229,0.4017467248908297,0.5649341739674809
seq2seq_attn,8,208,0.3173076923076923,0.5226750506477397
seq2seq_attn,9,227,0.28634361233480177,0.4952955630012691
seq2seq_attn,10,134,0.26119402985074625,0.4926894341013061
seq2seq_attn,11,100,0.31,0.5346058621571699
seq2seq_luong,5,10,0.1,0.26673066659733424
seq2seq_luong,6,145,0.31724137931034485,0.4475778870276025
seq2seq_luong,7,229,0.39737991266375544,0.5591907374804592
seq2seq_luong,8,208,0.34134615384615385,0.5404428513311552
seq2seq_luong,9,227,0.2907488986784141,0.5104353750378562
seq2seq_luong,10,134,0.23134328358208955,0.479378951379347
seq2seq_luong,11,100,0.28,0.5381379183364978
