Epoch [1/50] Step 0 | Loss W: 2.3407 | Loss A: 0.0000
Epoch [1/50] Step 100 | Loss W: 3.1459 | Loss A: 0.0000
Epoch [1/50] Step 200 | Loss W: 2.2337 | Loss A: 0.0000
Epoch [1/50] Step 300 | Loss W: 2.4666 | Loss A: 0.0000
Epoch [1/50] Step 400 | Loss W: 2.1823 | Loss A: 0.0000
Epoch [1/50] Step 500 | Loss W: 2.1122 | Loss A: 0.0000
Epoch [1/50] Step 600 | Loss W: 1.6748 | Loss A: 0.0000
Epoch [1/50] Step 700 | Loss W: 1.4958 | Loss A: 0.0000
Epoch [2/50] Step 0 | Loss W: 1.6995 | Loss A: 0.0000
Epoch [2/50] Step 100 | Loss W: 1.4487 | Loss A: 0.0000
Epoch [2/50] Step 200 | Loss W: 1.5454 | Loss A: 0.0000
Epoch [2/50] Step 300 | Loss W: 1.2894 | Loss A: 0.0000
Epoch [2/50] Step 400 | Loss W: 1.0073 | Loss A: 0.0000
Epoch [2/50] Step 500 | Loss W: 1.2785 | Loss A: 0.0000
Epoch [2/50] Step 600 | Loss W: 1.0610 | Loss A: 0.0000
Epoch [2/50] Step 700 | Loss W: 1.5773 | Loss A: 0.0000
Epoch [3/50] Step 0 | Loss W: 0.8636 | Loss A: 0.0000
Epoch [3/50] Step 100 | Loss W: 1.2179 | Loss A: 0.0000
Epoch [3/50] Step 200 | Loss W: 1.2650 | Loss A: 0.0000
Epoch [3/50] Step 300 | Loss W: 1.1379 | Loss A: 0.0000
Epoch [3/50] Step 400 | Loss W: 1.0380 | Loss A: 0.0000
Epoch [3/50] Step 500 | Loss W: 0.8663 | Loss A: 0.0000
Epoch [3/50] Step 600 | Loss W: 0.5670 | Loss A: 0.0000
Epoch [3/50] Step 700 | Loss W: 0.8987 | Loss A: 0.0000
Epoch [4/50] Step 0 | Loss W: 0.6435 | Loss A: 0.0000
Epoch [4/50] Step 100 | Loss W: 0.6093 | Loss A: 0.0000
Epoch [4/50] Step 200 | Loss W: 1.2503 | Loss A: 0.0000
Epoch [4/50] Step 300 | Loss W: 0.9828 | Loss A: 0.0000
Epoch [4/50] Step 400 | Loss W: 0.6011 | Loss A: 0.0000
Epoch [4/50] Step 500 | Loss W: 1.1304 | Loss A: 0.0000
Epoch [4/50] Step 600 | Loss W: 0.7817 | Loss A: 0.0000
Epoch [4/50] Step 700 | Loss W: 0.9053 | Loss A: 0.0000
Epoch [5/50] Step 0 | Loss W: 0.5847 | Loss A: 0.0000
Epoch [5/50] Step 100 | Loss W: 0.7967 | Loss A: 0.0000
Epoch [5/50] Step 200 | Loss W: 0.5653 | Loss A: 0.0000
Epoch [5/50] Step 300 | Loss W: 0.6822 | Loss A: 0.0000
Epoch [5/50] Step 400 | Loss W: 0.5620 | Loss A: 0.0000
Epoch [5/50] Step 500 | Loss W: 0.6490 | Loss A: 0.0000
Epoch [5/50] Step 600 | Loss W: 0.8839 | Loss A: 0.0000
Epoch [5/50] Step 700 | Loss W: 0.8337 | Loss A: 0.0000
Epoch [6/50] Step 0 | Loss W: 0.4810 | Loss A: 0.0000
Epoch [6/50] Step 100 | Loss W: 0.5081 | Loss A: 0.0000
Epoch [6/50] Step 200 | Loss W: 0.5851 | Loss A: 0.0000
Epoch [6/50] Step 300 | Loss W: 1.0469 | Loss A: 0.0000
Epoch [6/50] Step 400 | Loss W: 0.5462 | Loss A: 0.0000
Epoch [6/50] Step 500 | Loss W: 0.4940 | Loss A: 0.0000
Epoch [6/50] Step 600 | Loss W: 0.6559 | Loss A: 0.0000
