op_index,elapsed_s,latency_us,op
0,0.000007,5.881000,get
1,0.000014,1.181000,get
2,0.000015,1.011000,get
3,0.000017,0.899000,get
4,0.000019,1.394000,get
5,0.000020,0.751000,get
6,0.000034,14.196000,put
7,0.000036,1.010000,get
8,0.000037,0.516000,get
9,0.000038,0.795000,get
10,0.000040,1.481000,get
11,0.000041,0.731000,get
12,0.000049,7.805000,put
13,0.000071,20.742000,put
14,0.000080,8.498000,put
15,0.000081,0.780000,get
16,0.000089,7.208000,put
17,0.000091,1.324000,get
18,0.000092,1.110000,get
19,0.000094,1.000000,get
20,0.000095,0.910000,get
21,0.000103,7.741000,put
22,0.000105,0.936000,get
23,0.000106,1.082000,get
24,0.000107,0.519000,get
25,0.000108,0.661000,get
26,0.000109,0.540000,get
27,0.000111,1.300000,get
28,0.000112,0.693000,get
29,0.000113,0.720000,get
30,0.000114,1.005000,get
31,0.000115,0.621000,get
32,0.000117,1.512000,get
33,0.000118,0.803000,get
34,0.000119,0.715000,get
35,0.000120,0.498000,get
36,0.000121,0.469000,get
37,0.000141,19.927000,put
38,0.000150,8.004000,put
39,0.000158,7.094000,put
40,0.000159,0.769000,get
41,0.000161,1.683000,get
42,0.000162,0.471000,get
43,0.000169,7.230000,put
44,0.000171,1.074000,get
45,0.000172,0.489000,get
46,0.000173,0.650000,get
47,0.000174,0.881000,get
48,0.000175,0.468000,get
49,0.000175,0.436000,get
50,0.000194,18.595000,put
51,0.000207,12.260000,put
52,0.000209,0.825000,get
53,0.000209,0.477000,get
54,0.000220,10.671000,put
55,0.000222,1.239000,get
56,0.000230,7.530000,put
57,0.000231,0.542000,get
58,0.000232,1.002000,get
59,0.000234,1.002000,get
60,0.000256,22.027000,put
61,0.000257,0.787000,get
62,0.000259,1.171000,get
63,0.000269,10.155000,put
64,0.000271,0.836000,get
65,0.000272,0.783000,get
66,0.000281,8.299000,put
67,0.000282,1.258000,get
68,0.000283,0.536000,get
69,0.000294,9.911000,put
70,0.000314,19.733000,put
71,0.000316,1.210000,get
72,0.000317,0.505000,get
73,0.000324,7.286000,put
74,0.000326,1.130000,get
75,0.000327,0.579000,get
76,0.000337,9.950000,put
77,0.000339,1.267000,get
78,0.000359,19.084000,put
79,0.000360,0.785000,get
80,0.000368,7.571000,put
81,0.000369,0.869000,get
82,0.000371,1.339000,get
83,0.000372,0.726000,get
84,0.000373,0.611000,get
85,0.000383,9.965000,put
86,0.000385,0.891000,get
87,0.000386,0.947000,get
88,0.000387,0.504000,get
89,0.000388,0.553000,get
90,0.000389,0.484000,get
91,0.000390,1.015000,get
92,0.000391,0.516000,get
93,0.000392,0.557000,get
94,0.000392,0.530000,get
95,0.000394,0.870000,get
96,0.000396,1.783000,get
97,0.000397,0.550000,get
98,0.000398,0.653000,get
99,0.000406,7.465000,put
100,0.000407,0.559000,get
101,0.000409,1.842000,get
102,0.000410,0.529000,get
103,0.000414,0.881000,get
104,0.000415,0.774000,get
105,0.000416,1.062000,get
106,0.000418,0.785000,get
107,0.000419,0.686000,get
108,0.000420,0.563000,get
109,0.000421,0.722000,get
110,0.000422,0.926000,get
111,0.000423,0.520000,get
112,0.000424,1.079000,get
113,0.000425,0.740000,get
114,0.000426,0.698000,get
115,0.000427,0.626000,get
116,0.000428,0.506000,get
117,0.000429,0.505000,get
118,0.000430,0.724000,get
119,0.000431,0.689000,get
120,0.000432,0.856000,get
121,0.000455,22.290000,put
122,0.000464,8.031000,put
123,0.000465,0.683000,get
124,0.000466,0.536000,get
125,0.000467,0.475000,get
126,0.000474,7.161000,put
127,0.000476,1.437000,get
128,0.000477,0.835000,get
129,0.000487,9.863000,put
130,0.000489,0.912000,get
131,0.000508,18.889000,put
132,0.000510,1.216000,get
133,0.000511,0.787000,get
134,0.000519,7.524000,put
135,0.000520,0.760000,get
136,0.000521,0.720000,get
137,0.000522,0.617000,get
138,0.000523,0.547000,get
139,0.000534,9.979000,put
140,0.000542,7.431000,put
141,0.000543,1.140000,get
142,0.000565,21.375000,put
143,0.000566,0.613000,get
144,0.000568,1.141000,get
145,0.000577,8.131000,put
146,0.000578,0.873000,get
147,0.000579,0.781000,get
148,0.000580,0.666000,get
149,0.000581,0.746000,get
150,0.000582,0.591000,get
151,0.000583,0.516000,get
152,0.000590,7.107000,put
153,0.000592,0.790000,get
154,0.000601,9.202000,put
155,0.000603,1.339000,get
156,0.000605,1.506000,get
157,0.000606,0.704000,get
158,0.000607,0.498000,get
159,0.000608,0.716000,get
160,0.000610,1.144000,get
161,0.000610,0.487000,get
162,0.000611,0.587000,get
163,0.000613,1.091000,get
164,0.000633,19.836000,put
165,0.000635,0.928000,get
166,0.000643,7.866000,put
167,0.000645,1.372000,get
168,0.000655,9.652000,put
169,0.000656,0.727000,get
170,0.000664,7.258000,put
171,0.000665,1.024000,get
172,0.000666,0.538000,get
173,0.000668,1.057000,get
174,0.000668,0.504000,get
175,0.000669,0.557000,get
176,0.000691,21.721000,put
177,0.000700,7.912000,put
178,0.000701,0.688000,get
179,0.000702,0.484000,get
180,0.000709,7.042000,put
181,0.000734,24.139000,put
182,0.000743,7.899000,put
183,0.000744,0.792000,get
184,0.000745,0.687000,get
185,0.000746,1.011000,get
186,0.000748,0.841000,get
187,0.000749,0.914000,get
188,0.000750,0.613000,get
189,0.000751,0.774000,get
190,0.000759,7.295000,put
191,0.000769,9.414000,put
192,0.000770,0.923000,get
193,0.000771,0.532000,get
194,0.000792,20.171000,put
195,0.000793,1.199000,get
196,0.000794,0.593000,get
197,0.000802,7.557000,put
198,0.000804,0.773000,get
199,0.000805,0.715000,get
200,0.000806,0.826000,get
201,0.000807,0.692000,get
202,0.000808,1.189000,get
203,0.000809,0.682000,get
204,0.000810,0.698000,get
205,0.000814,0.612000,get
206,0.000824,9.995000,put
207,0.000833,7.595000,put
208,0.000854,20.857000,put
209,0.000856,1.178000,get
210,0.000857,0.507000,get
211,0.000858,0.653000,get
212,0.000858,0.546000,get
213,0.000860,1.258000,get
214,0.000868,7.667000,put
215,0.000869,0.579000,get
216,0.000870,0.467000,get
217,0.000871,0.693000,get
218,0.000878,7.023000,put
219,0.000889,9.693000,put
220,0.000890,1.146000,get
221,0.000910,19.455000,put
222,0.000912,1.054000,get
223,0.000913,0.921000,get
224,0.000914,0.666000,get
225,0.000923,8.156000,put
226,0.000924,0.817000,get
227,0.000925,0.634000,get
228,0.000926,0.667000,get
229,0.000928,1.323000,get
230,0.000928,0.542000,get
231,0.000929,0.502000,get
232,0.000939,9.627000,put
233,0.000940,0.614000,get
234,0.000941,0.447000,get
235,0.000942,0.543000,get
236,0.000943,1.005000,get
237,0.000945,1.800000,get
238,0.000946,0.649000,get
239,0.000947,0.536000,get
240,0.000955,7.447000,put
241,0.000956,0.723000,get
242,0.000957,0.850000,get
243,0.000959,1.320000,get
244,0.000981,21.036000,put
245,0.000983,1.824000,get
246,0.000991,7.621000,put
247,0.000992,0.627000,get
248,0.000993,0.800000,get
249,0.000995,0.752000,get
250,0.001002,6.865000,put
251,0.001003,0.655000,get
252,0.001004,0.834000,get
253,0.001005,0.688000,get
254,0.001006,0.600000,get
255,0.001007,0.560000,get
256,0.001008,0.716000,get
257,0.001009,0.659000,get
258,0.001010,0.468000,get
259,0.001011,1.060000,get
260,0.001021,9.846000,put
261,0.001023,0.750000,get
262,0.001024,0.916000,get
263,0.001025,0.747000,get
264,0.001026,0.913000,get
265,0.001027,0.497000,get
266,0.001028,0.456000,get
267,0.001029,0.658000,get
268,0.001031,1.750000,get
269,0.001051,19.478000,put
270,0.001052,0.642000,get
271,0.001053,0.707000,get
272,0.001054,0.902000,get
273,0.001056,0.893000,get
274,0.001057,0.776000,get
275,0.001058,1.163000,get
276,0.001059,0.710000,get
277,0.001068,7.943000,put
278,0.001078,9.855000,put
279,0.001079,0.630000,get
280,0.001080,0.525000,get
281,0.001081,0.463000,get
282,0.001100,18.807000,put
283,0.001101,0.690000,get
284,0.001103,1.490000,get
285,0.001104,0.904000,get
286,0.001106,0.964000,get
287,0.001121,15.092000,put
288,0.001122,0.675000,get
289,0.001124,0.827000,get
290,0.001125,0.729000,get
291,0.001126,1.192000,get
292,0.001135,8.010000,put
293,0.001136,0.920000,get
294,0.001137,0.620000,get
295,0.001145,7.207000,put
296,0.001146,0.691000,get
297,0.001147,0.535000,get
298,0.001148,0.829000,get
299,0.001167,18.422000,put
300,0.001168,0.557000,get
301,0.001169,0.931000,get
302,0.001171,1.407000,get
303,0.001172,0.957000,get
304,0.001173,0.462000,get
305,0.001174,0.645000,get
306,0.001175,0.674000,get
307,0.001176,0.481000,get
308,0.001179,0.817000,get
309,0.001181,1.006000,get
310,0.001181,0.640000,get
311,0.001183,1.281000,get
312,0.001184,0.536000,get
313,0.001185,0.621000,get
314,0.001186,0.947000,get
315,0.001195,8.091000,put
316,0.001203,7.418000,put
317,0.001204,0.883000,get
318,0.001205,0.815000,get
319,0.001216,10.073000,put
320,0.001217,0.950000,get
321,0.001243,25.586000,put
322,0.001245,0.708000,get
323,0.001246,0.749000,get
324,0.001246,0.434000,get
325,0.001248,1.490000,get
326,0.001249,0.804000,get
327,0.001251,0.986000,get
328,0.001252,0.607000,get
329,0.001253,0.861000,get
330,0.001254,0.480000,get
331,0.001254,0.552000,get
332,0.001255,0.445000,get
333,0.001256,0.861000,get
334,0.001257,0.445000,get
335,0.001258,0.698000,get
336,0.001259,0.952000,get
337,0.001271,10.658000,put
338,0.001279,7.448000,put
339,0.001280,0.870000,get
340,0.001281,0.548000,get
341,0.001282,0.488000,get
342,0.001282,0.476000,get
343,0.001284,1.297000,get
344,0.001292,7.854000,put
345,0.001294,0.838000,get
346,0.001294,0.498000,get
347,0.001296,1.078000,get
348,0.001297,0.845000,get
349,0.001319,21.785000,put
350,0.001321,0.950000,get
351,0.001322,0.914000,get
352,0.001323,0.610000,get
353,0.001331,7.625000,put
354,0.001332,0.623000,get
355,0.001342,8.976000,put
356,0.001343,0.885000,get
357,0.001344,1.125000,get
358,0.001346,0.705000,get
359,0.001347,0.869000,get
360,0.001355,7.606000,put
361,0.001356,0.885000,get
362,0.001357,0.536000,get
363,0.001358,0.737000,get
364,0.001360,0.995000,get
365,0.001361,0.732000,get
366,0.001380,19.339000,put
367,0.001382,1.032000,get
368,0.001383,0.955000,get
369,0.001385,0.806000,get
370,0.001396,11.183000,put
371,0.001404,7.631000,put
372,0.001412,6.805000,put
373,0.001413,1.000000,get
374,0.001414,0.614000,get
375,0.001435,20.566000,put
376,0.001437,0.847000,get
377,0.001438,0.942000,get
378,0.001440,1.146000,get
379,0.001441,0.648000,get
380,0.001441,0.557000,get
381,0.001443,1.128000,get
382,0.001444,0.790000,get
383,0.001446,1.310000,get
384,0.001447,0.858000,get
385,0.001448,0.547000,get
386,0.001449,0.956000,get
387,0.001450,1.048000,get
388,0.001451,0.516000,get
389,0.001452,0.584000,get
390,0.001453,0.816000,get
391,0.001454,0.614000,get
392,0.001463,8.200000,put
393,0.001464,0.598000,get
394,0.001465,0.542000,get
395,0.001475,10.098000,put
396,0.001477,0.930000,get
397,0.001485,7.948000,put
398,0.001486,0.760000,get
399,0.001505,18.463000,put
400,0.001507,0.856000,get
401,0.001507,0.505000,get
402,0.001518,10.045000,put
403,0.001519,1.014000,get
404,0.001521,1.111000,get
405,0.001529,7.693000,put
406,0.001551,21.228000,put
407,0.001552,0.746000,get
408,0.001561,7.945000,put
409,0.001562,0.689000,get
410,0.001566,0.926000,get
411,0.001567,1.162000,get
412,0.001569,1.320000,get
413,0.001577,7.931000,put
414,0.001578,0.724000,get
415,0.001580,0.891000,get
416,0.001581,0.555000,get
417,0.001581,0.507000,get
418,0.001583,1.089000,get
419,0.001591,7.640000,put
420,0.001592,0.671000,get
421,0.001593,0.471000,get
422,0.001594,0.454000,get
423,0.001595,0.713000,get
424,0.001595,0.467000,get
425,0.001596,0.741000,get
426,0.001597,0.467000,get
427,0.001598,0.466000,get
428,0.001599,1.134000,get
429,0.001601,1.422000,get
430,0.001602,0.615000,get
431,0.001604,0.869000,get
432,0.001604,0.625000,get
433,0.001605,0.500000,get
434,0.001606,0.685000,get
435,0.001607,0.823000,get
436,0.001630,22.376000,put
437,0.001639,7.979000,put
438,0.001649,9.183000,put
439,0.001650,0.994000,get
440,0.001651,0.498000,get
441,0.001659,7.468000,put
442,0.001661,1.236000,get
443,0.001663,1.424000,get
444,0.001664,0.784000,get
445,0.001665,0.561000,get
446,0.001666,0.633000,get
447,0.001667,1.278000,get
448,0.001668,0.485000,get
449,0.001669,0.842000,get
450,0.001671,0.838000,get
451,0.001671,0.495000,get
452,0.001673,1.181000,get
453,0.001674,0.647000,get
454,0.001675,0.623000,get
455,0.001676,0.551000,get
456,0.001676,0.492000,get
457,0.001677,0.482000,get
458,0.001697,19.123000,put
459,0.001707,9.765000,put
460,0.001709,0.942000,get
461,0.001716,7.425000,put
462,0.001718,0.594000,get
463,0.001719,0.901000,get
464,0.001720,0.482000,get
465,0.001721,0.718000,get
466,0.001728,7.430000,put
467,0.001730,0.612000,get
468,0.001731,0.787000,get
469,0.001732,1.159000,get
470,0.001733,0.705000,get
471,0.001734,0.847000,get
472,0.001759,24.341000,put
473,0.001760,0.674000,get
474,0.001762,1.019000,get
475,0.001763,0.770000,get
476,0.001771,7.594000,put
477,0.001773,1.189000,get
478,0.001783,10.253000,put
479,0.001785,0.829000,get
480,0.001786,0.740000,get
481,0.001787,0.875000,get
482,0.001788,0.669000,get
483,0.001789,0.852000,get
484,0.001790,0.576000,get
485,0.001798,8.023000,put
486,0.001800,0.740000,get
487,0.001802,1.433000,get
488,0.001821,18.661000,put
489,0.001822,0.692000,get
490,0.001832,9.679000,put
491,0.001834,1.030000,get
492,0.001835,0.977000,get
493,0.001836,0.543000,get
494,0.001837,1.037000,get
495,0.001838,0.788000,get
496,0.001840,1.375000,get
497,0.001841,0.491000,get
498,0.001842,0.491000,get
499,0.001843,0.568000,get
500,0.001851,7.806000,put
501,0.001852,0.625000,get
502,0.001853,1.076000,get
503,0.001861,7.210000,put
504,0.001882,20.943000,put
505,0.001884,0.679000,get
506,0.001884,0.435000,get
507,0.001886,1.008000,get
508,0.001887,0.820000,get
509,0.001888,0.829000,get
510,0.001889,0.521000,get
511,0.001890,0.715000,get
512,0.001891,0.480000,get
513,0.001902,8.352000,put
514,0.001912,9.503000,put
515,0.001913,1.118000,get
516,0.001915,1.184000,get
