op_index,elapsed_s,latency_us,op
0,0.000042,28.017000,get
1,0.000046,3.599000,get
2,0.000055,8.409000,get
3,0.000058,1.836000,get
4,0.000061,2.518000,get
5,0.000063,1.390000,get
6,0.000069,5.938000,put
7,0.000072,2.180000,get
8,0.000075,2.638000,get
9,0.000077,0.918000,get
10,0.000079,2.103000,get
11,0.000084,4.379000,put
12,0.000089,3.538000,get
13,0.000091,1.886000,get
14,0.000096,4.076000,put
15,0.000110,13.722000,get
16,0.000112,1.880000,get
17,0.000114,0.932000,get
18,0.000115,0.854000,get
19,0.000124,8.468000,put
20,0.000126,1.141000,get
21,0.000128,1.644000,get
22,0.000129,0.684000,get
23,0.000134,4.413000,put
24,0.000138,3.950000,put
25,0.000140,0.705000,get
26,0.000145,4.451000,put
27,0.000149,3.679000,get
28,0.000151,1.245000,get
29,0.000153,2.026000,get
30,0.000155,1.524000,get
31,0.000156,0.656000,get
32,0.000158,1.681000,get
33,0.000159,0.644000,get
34,0.000162,2.286000,get
35,0.000164,1.642000,get
36,0.000166,1.674000,get
37,0.000168,1.629000,get
38,0.000170,1.650000,get
39,0.000172,0.688000,get
40,0.000172,0.512000,get
41,0.000176,2.793000,get
42,0.000177,0.763000,get
43,0.000178,0.689000,get
44,0.000180,1.520000,get
45,0.000188,7.573000,put
46,0.000192,3.888000,put
47,0.000197,3.963000,get
48,0.000199,1.350000,get
49,0.000200,0.726000,get
50,0.000205,4.101000,put
51,0.000210,4.170000,get
52,0.000211,0.728000,get
53,0.000216,4.673000,get
54,0.000221,4.258000,put
55,0.000222,0.500000,get
56,0.000222,0.428000,get
57,0.000235,11.496000,get
58,0.000239,3.691000,get
59,0.000241,1.371000,get
60,0.000242,1.116000,get
61,0.000244,0.919000,get
62,0.000246,2.089000,get
63,0.000249,2.882000,get
64,0.000252,1.937000,get
65,0.000261,8.033000,put
66,0.000263,1.459000,get
67,0.000267,4.012000,put
68,0.000277,9.165000,get
69,0.000278,0.503000,get
70,0.000280,1.868000,get
71,0.000281,0.603000,get
72,0.000285,3.930000,put
73,0.000288,2.260000,get
74,0.000290,1.479000,get
75,0.000291,0.488000,get
76,0.000295,3.852000,put
77,0.000303,6.816000,put
78,0.000307,3.741000,put
79,0.000312,4.221000,get
80,0.000314,1.814000,get
81,0.000315,0.474000,get
