op_index,elapsed_s,latency_us,op
0,0.000045,31.444000,get
1,0.000059,13.769000,get
2,0.000070,10.949000,get
3,0.000083,12.154000,get
4,0.000094,10.991000,get
5,0.000104,10.170000,get
6,0.000116,11.705000,get
7,0.000128,11.258000,get
8,0.000141,13.214000,get
9,0.000155,14.203000,get
10,0.000168,12.244000,get
11,0.000178,10.183000,get
12,0.000191,12.632000,get
13,0.000205,13.508000,get
14,0.000219,14.254000,get
15,0.000234,14.739000,get
16,0.000245,10.583000,get
17,0.000259,13.646000,get
18,0.000272,13.330000,get
19,0.000283,10.408000,get
20,0.000294,10.527000,get
21,0.000304,10.161000,get
22,0.000315,11.040000,get
23,0.000326,10.539000,get
24,0.000334,7.872000,get
25,0.000347,12.665000,get
26,0.000361,13.384000,get
27,0.000375,14.259000,get
28,0.000384,8.196000,get
29,0.000395,10.883000,get
30,0.000406,11.007000,get
31,0.000418,11.382000,get
32,0.000430,12.163000,get
33,0.000442,12.267000,get
34,0.000454,11.783000,get
35,0.000467,12.676000,get
36,0.000481,13.559000,get
37,0.000495,13.734000,get
38,0.000506,10.738000,get
39,0.000516,10.198000,get
40,0.000530,13.239000,get
41,0.000532,1.490000,get
42,0.000539,7.260000,get
43,0.000552,12.829000,get
44,0.000561,9.047000,get
45,0.000572,10.132000,get
46,0.000579,7.523000,get
47,0.000585,5.889000,get
48,0.000593,7.344000,get
49,0.000609,16.033000,get
50,0.000617,7.410000,get
51,0.000631,14.249000,get
52,0.000636,4.459000,get
53,0.000648,12.051000,get
54,0.000654,5.891000,get
55,0.000667,12.764000,get
56,0.000678,10.882000,get
57,0.000689,9.999000,get
58,0.000701,12.631000,get
59,0.000712,10.173000,get
60,0.000724,11.471000,get
61,0.000729,5.606000,get
62,0.000739,8.950000,get
63,0.000753,14.527000,get
64,0.000765,11.855000,get
65,0.000777,10.924000,get
66,0.000781,4.209000,get
67,0.000793,12.272000,get
68,0.000805,11.496000,get
69,0.000818,12.315000,get
70,0.000825,6.892000,get
71,0.000833,7.758000,get
72,0.000845,12.315000,get
73,0.000854,8.871000,get
74,0.000865,10.679000,get
75,0.000875,9.002000,get
76,0.000888,13.716000,get
77,0.000895,6.683000,get
78,0.000908,12.600000,get
79,0.000920,11.734000,get
80,0.000931,10.739000,get
