mode,mixed
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task1_bloom_on
num_keys,2200000
load_keys,2200000
run_ops,200000
value_size,1024
write_buffer_size,16777216
block_size,4096
block_cache_size,67108864
bloom_bits,10
fill_cache,1
use_kv_cache,0
kv_cache_capacity,0
range_length,16
run_pattern,uniform
zipf_skew,1.2
total_ops,200000
get_ops,200000
put_ops,0
scan_ops,0
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,0.627545
qps,318702
p50_us,2.206
p90_us,4.827
p99_us,6.719
p999_us,18.463
