op_index,elapsed_s,latency_us,op
0,0.000046,34.648000,get
1,0.000064,17.776000,get
2,0.000079,14.676000,get
3,0.000095,15.503000,get
4,0.000113,17.977000,get
5,0.000128,14.952000,get
6,0.000142,13.728000,get
7,0.000158,15.254000,get
8,0.000174,15.523000,get
9,0.000188,14.487000,get
10,0.000204,15.457000,get
11,0.000219,14.908000,get
12,0.000235,15.500000,get
13,0.000259,23.860000,get
14,0.000273,13.834000,get
15,0.000286,12.739000,get
16,0.000302,15.372000,get
17,0.000316,13.984000,get
18,0.000329,13.250000,get
19,0.000335,5.581000,get
20,0.000352,16.113000,get
21,0.000364,12.247000,get
22,0.000378,13.218000,get
23,0.000390,12.300000,get
24,0.000403,12.345000,get
25,0.000419,15.579000,get
26,0.000423,4.663000,get
27,0.000438,14.414000,get
28,0.000454,15.783000,get
29,0.000468,13.594000,get
30,0.000481,12.544000,get
31,0.000494,12.562000,get
32,0.000507,12.857000,get
33,0.000520,13.193000,get
34,0.000533,12.604000,get
35,0.000548,14.433000,get
36,0.000568,20.419000,get
37,0.000583,14.056000,get
38,0.000600,17.252000,get
39,0.000605,5.021000,get
40,0.000619,13.215000,get
41,0.000634,14.486000,get
42,0.000647,12.954000,get
43,0.000653,6.073000,get
44,0.000666,12.842000,get
45,0.000681,14.150000,get
46,0.000693,12.308000,get
47,0.000706,12.689000,get
48,0.000719,12.624000,get
49,0.000725,6.249000,get
50,0.000738,12.082000,get
51,0.000752,13.963000,get
52,0.000760,8.084000,get
53,0.000776,15.542000,get
54,0.000789,12.151000,get
55,0.000794,4.811000,get
56,0.000799,4.873000,get
57,0.000812,12.757000,get
58,0.000824,12.285000,get
59,0.000838,13.529000,get
60,0.000851,12.662000,get
61,0.000857,6.162000,get
62,0.000862,4.480000,get
63,0.000877,14.416000,get
64,0.000883,5.447000,get
65,0.000890,7.588000,get
66,0.000904,12.960000,get
67,0.000918,13.801000,get
68,0.000923,4.758000,get
69,0.000937,13.999000,get
70,0.000943,5.592000,get
71,0.000948,5.086000,get
72,0.000954,6.182000,get
73,0.000960,5.033000,get
74,0.000965,5.294000,get
75,0.000974,8.322000,get
76,0.000987,12.889000,get
77,0.000999,12.087000,get
78,0.001017,17.265000,get
79,0.001027,9.188000,get
80,0.001043,15.812000,get
81,0.001051,8.141000,get
82,0.001067,15.292000,get
83,0.001073,5.760000,get
84,0.001086,12.912000,get
85,0.001091,4.929000,get
86,0.001096,4.802000,get
87,0.001110,14.234000,get
88,0.001135,24.398000,get
89,0.001142,6.301000,get
90,0.001154,11.962000,get
91,0.001166,12.079000,get
92,0.001180,13.074000,get
93,0.001187,7.085000,get
94,0.001193,5.922000,get
95,0.001206,12.728000,get
96,0.001214,7.528000,get
97,0.001221,6.752000,get
98,0.001237,15.800000,get
99,0.001251,13.858000,get
100,0.001265,13.458000,get
101,0.001279,14.048000,get
102,0.001287,7.799000,get
103,0.001293,6.022000,get
104,0.001305,11.496000,get
105,0.001311,6.240000,get
106,0.001326,14.635000,get
107,0.001340,13.199000,get
108,0.001346,5.213000,get
109,0.001350,4.549000,get
110,0.001357,5.926000,get
111,0.001370,12.994000,get
112,0.001376,5.570000,get
113,0.001386,9.928000,get
114,0.001399,13.026000,get
115,0.001412,12.246000,get
116,0.001417,5.318000,get
117,0.001422,5.064000,get
118,0.001437,14.264000,get
119,0.001450,13.254000,get
120,0.001456,5.490000,get
121,0.001469,13.022000,get
122,0.001502,32.174000,get
123,0.001509,6.724000,get
124,0.001523,13.529000,get
125,0.001529,5.761000,get
126,0.001542,12.467000,get
127,0.001555,12.587000,get
128,0.001560,4.914000,get
129,0.001566,5.804000,get
130,0.001579,12.821000,get
131,0.001585,5.469000,get
132,0.001592,7.197000,get
133,0.001606,13.457000,get
134,0.001618,11.895000,get
135,0.001624,5.937000,get
136,0.001631,6.400000,get
137,0.001636,5.067000,get
138,0.001643,6.265000,get
139,0.001650,7.144000,get
140,0.001663,12.452000,get
141,0.001669,5.870000,get
142,0.001675,5.456000,get
143,0.001680,5.072000,get
144,0.001696,15.722000,get
145,0.001702,6.091000,get
146,0.001717,14.970000,get
147,0.001731,12.877000,get
148,0.001743,12.628000,get
149,0.001757,13.187000,get
150,0.001763,5.742000,get
151,0.001770,6.412000,get
152,0.001776,5.887000,get
153,0.001782,6.488000,get
154,0.001795,12.722000,get
155,0.001803,6.982000,get
156,0.001809,6.366000,get
157,0.001815,5.701000,get
158,0.001820,4.836000,get
159,0.001829,7.981000,get
160,0.001843,13.759000,get
161,0.001857,14.570000,get
162,0.001863,5.383000,get
163,0.001874,11.100000,get
164,0.001881,6.387000,get
165,0.001887,5.858000,get
166,0.001896,8.833000,get
167,0.001905,8.278000,get
168,0.001913,7.920000,get
169,0.001927,14.311000,get
170,0.001934,6.209000,get
171,0.001940,5.559000,get
172,0.001946,5.946000,get
173,0.001953,7.111000,get
174,0.001967,13.243000,get
175,0.001974,7.209000,get
176,0.001979,4.313000,get
177,0.001991,11.686000,get
178,0.001998,6.909000,get
179,0.002009,10.377000,get
180,0.002021,12.349000,get
181,0.002029,7.395000,get
182,0.002040,11.194000,get
183,0.002046,5.784000,get
184,0.002059,12.237000,get
185,0.002074,14.597000,get
186,0.002080,6.094000,get
187,0.002085,4.603000,get
188,0.002092,6.325000,get
189,0.002100,7.415000,get
190,0.002106,5.555000,get
191,0.002113,7.594000,get
192,0.002119,5.310000,get
193,0.002131,11.561000,get
194,0.002138,6.760000,get
195,0.002144,5.991000,get
196,0.002162,17.569000,get
197,0.002175,13.338000,get
198,0.002182,5.961000,get
199,0.002188,5.861000,get
200,0.002198,10.048000,get
201,0.002214,15.910000,get
202,0.002221,6.806000,get
203,0.002227,5.467000,get
204,0.002234,6.761000,get
205,0.002240,6.268000,get
206,0.002254,13.538000,get
207,0.002262,7.051000,get
