mode,mixed
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task1_bs16k
num_keys,2200000
load_keys,2200000
run_ops,200000
value_size,1024
write_buffer_size,16777216
block_size,16384
block_cache_size,67108864
bloom_bits,-1
fill_cache,1
use_kv_cache,0
kv_cache_capacity,0
range_length,16
run_pattern,zipf
zipf_skew,1.2
total_ops,200000
get_ops,159864
put_ops,40136
scan_ops,0
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,0.598554
qps,334139
p50_us,0.672
p90_us,3.697
p99_us,9.481
p999_us,18.397
