op_index,elapsed_s,latency_us,op
0,0.000034,23.356000,get
1,0.000036,1.451000,get
2,0.000042,5.489000,get
3,0.000048,5.640000,get
4,0.000049,1.044000,get
5,0.000070,20.296000,put
6,0.000071,1.121000,get
7,0.000074,2.199000,put
8,0.000083,8.962000,put
9,0.000085,1.664000,get
10,0.000087,1.828000,put
11,0.000088,0.313000,get
12,0.000094,6.507000,get
13,0.000097,2.165000,put
14,0.000098,0.228000,get
15,0.000103,5.147000,get
16,0.000110,6.405000,get
17,0.000114,3.776000,get
18,0.000116,1.513000,get
19,0.000118,1.128000,get
20,0.000124,5.829000,get
21,0.000126,1.430000,get
22,0.000139,12.103000,get
23,0.000141,1.633000,get
24,0.000143,2.038000,put
25,0.000144,1.084000,get
26,0.000145,0.212000,get
27,0.000149,3.527000,put
28,0.000154,5.067000,get
29,0.000155,0.258000,get
30,0.000157,1.745000,get
31,0.000162,5.242000,get
32,0.000163,0.208000,get
33,0.000166,2.922000,get
34,0.000166,0.209000,get
35,0.000177,10.184000,get
36,0.000179,1.892000,put
37,0.000181,1.799000,put
38,0.000182,0.294000,get
39,0.000184,1.840000,put
40,0.000186,1.270000,get
41,0.000191,5.170000,get
42,0.000215,24.205000,put
43,0.000217,1.276000,get
44,0.000219,1.998000,put
45,0.000221,1.993000,put
46,0.000222,0.252000,get
47,0.000223,1.079000,get
48,0.000224,0.306000,get
49,0.000227,3.324000,put
50,0.000228,0.274000,get
51,0.000228,0.224000,get
52,0.000230,1.463000,get
53,0.000243,12.206000,get
54,0.000243,0.210000,get
55,0.000244,0.195000,get
56,0.000245,1.295000,get
57,0.000248,1.974000,put
58,0.000250,1.982000,put
59,0.000255,4.715000,get
60,0.000255,0.276000,get
61,0.000256,0.247000,get
62,0.000256,0.200000,get
63,0.000259,2.003000,put
64,0.000259,0.258000,get
65,0.000259,0.184000,get
66,0.000260,0.176000,get
67,0.000264,3.502000,get
68,0.000264,0.297000,get
69,0.000266,1.469000,get
70,0.000266,0.272000,get
71,0.000269,2.184000,get
72,0.000270,1.195000,get
73,0.000271,0.257000,get
74,0.000274,3.256000,put
75,0.000275,0.241000,get
76,0.000289,13.233000,get
77,0.000290,1.117000,get
78,0.000291,1.135000,get
79,0.000293,1.774000,get
80,0.000295,1.143000,get
81,0.000299,3.968000,get
82,0.000300,0.217000,get
83,0.000301,0.999000,get
84,0.000302,1.121000,get
85,0.000307,3.987000,get
86,0.000308,0.989000,get
87,0.000308,0.254000,get
88,0.000309,0.937000,get
89,0.000315,4.807000,get
90,0.000316,1.581000,get
91,0.000319,2.054000,put
92,0.000319,0.225000,get
93,0.000321,1.885000,put
94,0.000323,1.877000,put
95,0.000327,3.354000,put
96,0.000329,1.436000,get
97,0.000337,6.986000,get
98,0.000342,4.433000,get
99,0.000343,1.047000,get
100,0.000344,0.214000,get
101,0.000346,2.031000,put
102,0.000346,0.214000,get
103,0.000347,0.219000,get
104,0.000348,1.258000,get
105,0.000350,1.646000,get
106,0.000351,0.955000,get
107,0.000363,10.751000,get
108,0.000376,13.275000,put
109,0.000378,1.745000,put
110,0.000380,1.024000,get
111,0.000380,0.209000,get
112,0.000380,0.304000,get
113,0.000386,4.714000,get
114,0.000393,7.063000,get
115,0.000393,0.218000,get
116,0.000397,3.318000,put
117,0.000399,1.835000,put
118,0.000400,0.237000,get
119,0.000406,5.266000,get
120,0.000409,3.544000,get
121,0.000416,6.076000,get
122,0.000417,1.164000,get
123,0.000420,1.756000,get
124,0.000420,0.201000,get
125,0.000421,1.173000,get
126,0.000422,0.197000,get
127,0.000424,1.628000,get
128,0.000425,1.343000,get
129,0.000453,26.688000,get
130,0.000453,0.310000,get
131,0.000454,0.212000,get
132,0.000454,0.268000,get
133,0.000467,11.511000,get
134,0.000468,1.009000,get
135,0.000468,0.326000,get
136,0.000474,5.475000,get
137,0.000476,1.185000,get
138,0.000481,4.503000,get
139,0.000484,2.387000,put
140,0.000486,1.968000,put
141,0.000488,1.267000,get
142,0.000489,1.123000,get
143,0.000494,4.346000,put
144,0.000495,1.368000,get
145,0.000500,3.951000,get
146,0.000502,1.958000,get
147,0.000502,0.210000,get
148,0.000503,0.196000,get
149,0.000504,1.640000,get
150,0.000506,1.075000,get
151,0.000517,10.333000,get
152,0.000518,1.258000,get
153,0.000525,6.205000,get
154,0.000533,7.921000,get
155,0.000534,0.214000,get
156,0.000536,2.001000,put
157,0.000539,1.926000,put
158,0.000540,1.424000,get
159,0.000541,0.208000,get
160,0.000542,1.183000,get
161,0.000544,1.950000,put
162,0.000547,2.645000,get
163,0.000556,8.539000,get
164,0.000558,1.306000,get
165,0.000558,0.219000,get
166,0.000560,1.259000,get
167,0.000564,3.959000,get
168,0.000565,0.271000,get
169,0.000571,5.527000,get
170,0.000572,0.220000,get
171,0.000572,0.196000,get
172,0.000572,0.289000,get
173,0.000574,1.195000,get
174,0.000583,8.184000,get
175,0.000597,13.381000,get
176,0.000601,3.367000,put
177,0.000607,5.090000,get
178,0.000607,0.321000,get
179,0.000608,0.222000,get
180,0.000608,0.205000,get
181,0.000618,8.435000,get
182,0.000619,1.324000,get
183,0.000621,1.198000,get
184,0.000621,0.207000,get
185,0.000623,1.972000,put
186,0.000625,1.785000,put
187,0.000626,0.305000,get
188,0.000631,4.716000,get
189,0.000631,0.213000,get
190,0.000633,1.258000,get
191,0.000634,1.057000,get
192,0.000636,1.034000,get
193,0.000636,0.212000,get
194,0.000640,3.486000,put
195,0.000640,0.324000,get
196,0.000642,1.396000,get
197,0.000643,0.263000,get
198,0.000643,0.287000,get
199,0.000644,1.093000,get
200,0.000647,2.027000,put
201,0.000649,1.862000,put
202,0.000651,2.030000,put
203,0.000659,7.117000,get
204,0.000663,3.585000,put
205,0.000666,2.286000,get
206,0.000668,2.072000,put
207,0.000676,7.183000,get
208,0.000678,2.102000,put
209,0.000680,1.370000,get
210,0.000682,1.799000,put
211,0.000682,0.236000,get
212,0.000684,1.737000,get
213,0.000688,3.241000,put
214,0.000690,1.961000,put
215,0.000691,0.237000,get
216,0.000693,1.970000,put
