mode,write_only
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task2_write_stall
num_keys,8000000
load_keys,2200000
run_ops,1500000
value_size,1024
write_buffer_size,4194304
block_size,4096
block_cache_size,67108864
bloom_bits,-1
fill_cache,1
use_kv_cache,0
kv_cache_capacity,0
range_length,16
run_pattern,uniform
zipf_skew,1.2
total_ops,1500000
get_ops,0
put_ops,1500000
scan_ops,0
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,493.977
qps,3036.58
p50_us,6.531
p90_us,1175
p99_us,1214.33
p999_us,1957.83
