mode,mixed
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task3_mix_block
num_keys,2200000
load_keys,2200000
run_ops,100000
value_size,1024
write_buffer_size,16777216
block_size,4096
block_cache_size,268435456
bloom_bits,-1
fill_cache,1
use_kv_cache,0
kv_cache_capacity,0
range_length,16
run_pattern,zipf
zipf_skew,1.2
total_ops,100000
get_ops,79953
put_ops,20047
scan_ops,0
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,0.209486
qps,477359
p50_us,0.623
p90_us,3.376
p99_us,7.993
p999_us,16.813
