op_index,elapsed_s,latency_us,op
0,0.000039,28.041000,get
1,0.000055,14.958000,get
2,0.000062,5.956000,get
3,0.000068,5.883000,get
4,0.000069,1.064000,get
5,0.000083,13.090000,get
6,0.000086,2.070000,get
7,0.000087,0.899000,get
8,0.000088,1.257000,get
9,0.000095,6.352000,get
10,0.000097,1.280000,get
11,0.000099,1.817000,get
12,0.000100,0.974000,get
13,0.000123,22.592000,put
14,0.000128,4.280000,get
15,0.000130,2.381000,put
16,0.000140,9.516000,put
17,0.000150,9.762000,get
18,0.000152,1.295000,get
19,0.000153,0.978000,get
20,0.000154,0.405000,get
21,0.000155,0.939000,get
22,0.000157,2.152000,get
23,0.000161,3.528000,get
24,0.000162,0.263000,get
25,0.000164,2.025000,put
26,0.000174,9.544000,get
27,0.000176,1.190000,get
28,0.000178,1.973000,put
29,0.000181,2.062000,put
30,0.000183,1.547000,get
31,0.000187,3.652000,get
32,0.000189,1.793000,get
33,0.000189,0.280000,get
34,0.000194,4.715000,get
35,0.000194,0.228000,get
36,0.000198,3.058000,get
37,0.000199,1.064000,get
38,0.000199,0.205000,get
39,0.000203,3.573000,put
40,0.000220,16.433000,get
41,0.000221,0.282000,get
42,0.000221,0.209000,get
43,0.000225,4.142000,get
44,0.000230,4.012000,get
45,0.000236,5.904000,get
46,0.000237,1.269000,get
47,0.000239,1.587000,get
48,0.000241,1.893000,get
49,0.000254,11.696000,get
50,0.000256,1.402000,get
51,0.000267,10.076000,get
52,0.000269,1.374000,get
53,0.000269,0.198000,get
54,0.000271,1.293000,get
55,0.000271,0.197000,get
56,0.000271,0.221000,get
57,0.000272,0.192000,get
58,0.000273,0.953000,get
59,0.000273,0.237000,get
60,0.000278,4.664000,get
61,0.000279,0.198000,get
62,0.000281,2.095000,put
63,0.000283,1.281000,get
64,0.000283,0.202000,get
65,0.000285,1.904000,put
66,0.000291,5.125000,get
67,0.000292,1.611000,get
68,0.000295,1.862000,put
69,0.000295,0.235000,get
70,0.000297,1.390000,get
71,0.000297,0.230000,get
72,0.000298,0.953000,get
73,0.000306,7.586000,get
74,0.000311,4.991000,put
75,0.000312,0.219000,get
76,0.000313,1.230000,get
77,0.000315,1.801000,put
78,0.000317,1.599000,get
79,0.000320,1.901000,put
80,0.000321,1.037000,get
81,0.000322,1.157000,get
82,0.000326,3.330000,put
83,0.000326,0.234000,get
84,0.000327,0.216000,get
85,0.000328,1.127000,get
86,0.000329,0.986000,get
87,0.000330,0.952000,get
88,0.000331,0.202000,get
89,0.000333,1.791000,put
90,0.000334,1.079000,get
91,0.000334,0.205000,get
92,0.000336,1.313000,get
93,0.000337,1.064000,get
94,0.000349,10.836000,get
95,0.000349,0.231000,get
96,0.000350,0.215000,get
97,0.000364,13.695000,get
98,0.000366,1.434000,get
99,0.000367,1.027000,get
100,0.000373,5.166000,get
101,0.000374,0.990000,get
102,0.000387,11.569000,get
103,0.000389,2.000000,put
104,0.000405,15.182000,get
105,0.000409,3.619000,get
106,0.000411,1.757000,put
107,0.000411,0.226000,get
108,0.000412,0.991000,get
109,0.000416,3.030000,put
110,0.000421,4.718000,get
111,0.000421,0.198000,get
112,0.000422,0.211000,get
113,0.000423,1.071000,get
114,0.000428,4.263000,get
115,0.000428,0.197000,get
116,0.000428,0.182000,get
117,0.000433,4.263000,get
118,0.000435,1.905000,put
119,0.000437,1.731000,put
120,0.000439,1.755000,put
121,0.000442,2.602000,get
122,0.000443,0.895000,get
123,0.000456,11.773000,get
124,0.000457,1.301000,get
125,0.000462,4.838000,get
126,0.000464,0.941000,get
127,0.000465,0.878000,get
128,0.000469,4.178000,put
129,0.000470,1.110000,get
130,0.000471,0.195000,get
131,0.000475,4.224000,get
132,0.000477,1.832000,put
133,0.000482,4.474000,get
134,0.000483,0.923000,get
135,0.000484,0.194000,get
136,0.000484,0.185000,get
137,0.000485,0.867000,get
138,0.000485,0.185000,get
139,0.000486,0.187000,get
140,0.000486,0.262000,get
141,0.000488,1.629000,get
142,0.000490,1.958000,get
143,0.000492,1.738000,put
144,0.000494,1.681000,put
145,0.000496,1.532000,get
146,0.000508,11.355000,get
147,0.000510,1.732000,get
148,0.000522,11.346000,get
149,0.000524,1.305000,get
150,0.000529,4.540000,get
151,0.000530,0.265000,get
152,0.000533,3.138000,put
153,0.000535,1.843000,put
154,0.000536,1.035000,get
155,0.000542,4.829000,get
156,0.000542,0.204000,get
157,0.000542,0.184000,get
158,0.000544,1.136000,get
159,0.000548,4.231000,get
160,0.000549,0.222000,get
161,0.000550,1.237000,get
162,0.000551,0.252000,get
163,0.000555,4.303000,get
164,0.000557,2.066000,put
165,0.000559,1.127000,get
166,0.000559,0.193000,get
167,0.000560,0.242000,get
168,0.000562,1.771000,get
169,0.000567,4.972000,get
170,0.000568,0.205000,get
171,0.000568,0.174000,get
172,0.000569,1.000000,get
173,0.000571,1.846000,put
174,0.000573,1.369000,get
175,0.000575,1.637000,get
176,0.000575,0.189000,get
177,0.000576,1.214000,get
178,0.000581,3.781000,get
179,0.000582,0.936000,get
180,0.000584,1.749000,get
181,0.000585,0.871000,get
182,0.000586,0.970000,get
183,0.000589,2.940000,put
184,0.000591,1.715000,put
185,0.000601,8.512000,get
186,0.000603,1.891000,put
187,0.000604,1.074000,get
188,0.000613,8.387000,get
189,0.000613,0.273000,get
190,0.000614,0.191000,get
191,0.000615,1.030000,get
192,0.000615,0.190000,get
193,0.000617,1.244000,get
194,0.000619,1.891000,put
195,0.000627,7.764000,get
196,0.000628,0.203000,get
197,0.000629,1.028000,get
198,0.000637,7.337000,get
199,0.000642,4.825000,put
200,0.000642,0.251000,get
201,0.000648,5.016000,get
202,0.000650,1.834000,put
203,0.000650,0.203000,get
204,0.000651,0.186000,get
205,0.000651,0.237000,get
206,0.000657,5.328000,get
207,0.000657,0.193000,get
