mode,mixed
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task3_mix_kv
num_keys,2200000
load_keys,2200000
run_ops,100000
value_size,1024
write_buffer_size,16777216
block_size,4096
block_cache_size,1
bloom_bits,-1
fill_cache,0
use_kv_cache,1
kv_cache_capacity,268435456
range_length,16
run_pattern,zipf
zipf_skew,1.2
total_ops,100000
get_ops,80089
put_ops,19911
scan_ops,0
not_found,0
kv_cache_hits,54325
kv_cache_misses,25764
total_seconds,0.188265
qps,531167
p50_us,0.357
p90_us,3.702
p99_us,8.593
p999_us,18.05
