op_index,elapsed_s,latency_us,op
0,0.000040,27.236000,put
1,0.000085,28.144000,get
2,0.000087,2.360000,get
3,0.000090,2.316000,get
4,0.000092,2.064000,get
5,0.000093,0.248000,get
6,0.000095,2.213000,get
7,0.000097,1.787000,get
8,0.000099,1.721000,get
9,0.000102,2.568000,put
10,0.000109,6.711000,get
11,0.000119,9.982000,put
12,0.000122,2.223000,put
13,0.000123,0.511000,get
14,0.000125,1.980000,put
15,0.000127,1.934000,get
16,0.000129,1.557000,get
17,0.000129,0.096000,get
18,0.000131,2.003000,put
19,0.000132,0.086000,get
20,0.000132,0.384000,get
21,0.000140,7.157000,get
22,0.000151,10.531000,get
23,0.000157,5.235000,get
24,0.000158,0.782000,get
25,0.000161,2.980000,get
26,0.000163,1.678000,get
27,0.000168,4.543000,get
28,0.000170,1.812000,get
29,0.000175,4.423000,get
30,0.000177,1.549000,get
31,0.000178,0.827000,get
32,0.000178,0.118000,get
33,0.000179,0.094000,get
34,0.000181,2.112000,get
35,0.000188,6.584000,get
36,0.000193,4.626000,get
37,0.000193,0.098000,get
38,0.000197,3.730000,put
39,0.000198,0.095000,get
40,0.000198,0.094000,get
41,0.000200,1.809000,put
42,0.000200,0.086000,get
43,0.000210,9.312000,get
44,0.000211,0.089000,get
45,0.000213,1.990000,put
46,0.000213,0.087000,get
47,0.000216,2.960000,get
48,0.000219,2.245000,get
49,0.000220,1.479000,get
50,0.000223,2.513000,get
51,0.000224,0.703000,get
52,0.000236,10.696000,get
53,0.000236,0.088000,get
54,0.000239,2.408000,get
55,0.000239,0.097000,get
56,0.000244,4.636000,get
57,0.000244,0.086000,get
58,0.000250,5.580000,get
59,0.000255,4.466000,get
60,0.000256,0.094000,get
61,0.000256,0.085000,get
62,0.000258,2.215000,get
63,0.000259,0.086000,get
64,0.000263,4.129000,get
65,0.000263,0.092000,get
66,0.000265,1.894000,get
67,0.000268,2.272000,put
68,0.000273,4.126000,get
69,0.000273,0.100000,get
70,0.000289,14.124000,get
71,0.000291,1.804000,get
72,0.000293,1.678000,get
73,0.000293,0.093000,get
74,0.000302,7.602000,get
75,0.000306,4.436000,put
76,0.000308,1.481000,get
77,0.000311,2.512000,get
78,0.000311,0.098000,get
79,0.000316,4.724000,get
80,0.000316,0.090000,get
81,0.000317,0.087000,get
82,0.000319,2.240000,put
83,0.000319,0.099000,get
84,0.000320,0.624000,get
85,0.000321,0.092000,get
86,0.000321,0.111000,get
87,0.000322,0.576000,get
88,0.000322,0.086000,get
89,0.000322,0.076000,get
90,0.000322,0.106000,get
91,0.000329,5.280000,get
92,0.000331,2.307000,put
93,0.000335,3.510000,put
94,0.000339,3.841000,get
95,0.000339,0.106000,get
96,0.000342,1.991000,put
97,0.000344,1.973000,get
98,0.000350,5.504000,get
99,0.000353,2.899000,get
100,0.000353,0.095000,get
101,0.000354,0.084000,get
102,0.000356,1.915000,put
103,0.000356,0.094000,get
104,0.000357,0.748000,get
105,0.000360,2.000000,put
106,0.000362,1.831000,get
107,0.000366,4.325000,get
108,0.000369,2.188000,get
109,0.000369,0.101000,get
110,0.000373,3.414000,put
111,0.000373,0.099000,get
112,0.000373,0.084000,get
113,0.000375,1.858000,get
114,0.000381,5.535000,get
115,0.000384,2.156000,put
116,0.000386,2.115000,get
117,0.000388,1.650000,get
118,0.000390,1.611000,get
119,0.000394,4.459000,get
120,0.000395,0.101000,get
121,0.000395,0.103000,get
122,0.000397,2.021000,put
123,0.000399,1.656000,get
124,0.000401,2.068000,get
125,0.000404,2.066000,put
126,0.000404,0.094000,get
127,0.000404,0.090000,get
128,0.000408,3.752000,get
129,0.000413,4.723000,get
130,0.000415,1.686000,get
131,0.000416,0.095000,get
132,0.000416,0.095000,get
133,0.000418,1.664000,get
134,0.000423,5.347000,get
135,0.000424,0.096000,get
136,0.000427,2.504000,get
137,0.000427,0.088000,get
138,0.000427,0.096000,get
139,0.000432,4.848000,get
140,0.000433,0.092000,get
141,0.000433,0.629000,get
142,0.000436,2.068000,get
143,0.000438,1.826000,get
144,0.000442,3.471000,put
145,0.000442,0.497000,get
146,0.000445,2.022000,put
147,0.000445,0.091000,get
148,0.000447,1.899000,put
149,0.000448,0.411000,get
150,0.000451,2.554000,get
151,0.000451,0.092000,get
152,0.000451,0.086000,get
153,0.000453,1.601000,get
154,0.000458,4.918000,get
155,0.000461,2.014000,put
156,0.000464,3.432000,put
157,0.000465,0.099000,get
158,0.000465,0.448000,get
159,0.000468,2.291000,get
160,0.000480,11.539000,get
161,0.000481,0.089000,get
162,0.000481,0.095000,get
163,0.000483,1.789000,get
164,0.000483,0.079000,get
165,0.000483,0.072000,get
166,0.000484,0.068000,get
167,0.000485,1.651000,get
168,0.000487,1.563000,get
169,0.000488,0.078000,get
170,0.000488,0.080000,get
171,0.000489,0.766000,get
172,0.000494,4.750000,get
173,0.000496,2.049000,put
174,0.000497,0.114000,get
175,0.000497,0.081000,get
176,0.000499,2.044000,put
177,0.000501,1.838000,get
178,0.000502,0.161000,get
179,0.000504,2.049000,put
180,0.000506,1.588000,get
181,0.000508,1.908000,get
182,0.000513,4.427000,put
183,0.000517,4.047000,get
184,0.000518,0.537000,get
185,0.000518,0.102000,get
186,0.000523,4.317000,get
187,0.000525,2.127000,put
188,0.000526,0.428000,get
189,0.000526,0.095000,get
190,0.000526,0.080000,get
191,0.000533,6.147000,get
192,0.000533,0.092000,get
193,0.000538,4.813000,get
194,0.000540,1.678000,get
195,0.000542,1.739000,get
196,0.000543,0.079000,get
197,0.000543,0.074000,get
198,0.000543,0.071000,get
199,0.000545,2.124000,put
200,0.000548,1.906000,put
201,0.000548,0.073000,get
202,0.000548,0.081000,get
203,0.000550,1.482000,get
204,0.000550,0.072000,get
