op_index,elapsed_s,latency_us,op
0,0.000040,26.618000,get
1,0.000054,13.146000,get
2,0.000059,4.520000,get
3,0.000061,1.580000,get
4,0.000062,1.474000,get
5,0.000068,4.427000,get
6,0.000082,12.960000,get
7,0.000087,5.236000,get
8,0.000089,1.286000,get
9,0.000090,0.891000,get
10,0.000092,1.744000,get
11,0.000094,1.488000,get
12,0.000095,0.974000,get
13,0.000096,1.046000,get
14,0.000098,1.457000,get
15,0.000099,1.033000,get
16,0.000109,8.749000,get
17,0.000110,0.938000,get
18,0.000111,1.009000,get
19,0.000112,1.076000,get
20,0.000120,7.552000,get
21,0.000121,0.943000,get
22,0.000122,0.912000,get
23,0.000126,3.176000,get
24,0.000130,3.486000,get
25,0.000140,9.720000,get
26,0.000142,1.052000,get
27,0.000144,1.516000,get
28,0.000145,1.157000,get
29,0.000146,0.954000,get
30,0.000147,1.123000,get
31,0.000149,0.961000,get
32,0.000150,1.453000,get
33,0.000151,0.855000,get
34,0.000157,5.394000,get
35,0.000163,4.540000,get
36,0.000164,0.936000,get
37,0.000176,11.155000,get
38,0.000177,0.936000,get
39,0.000178,0.860000,get
40,0.000179,0.891000,get
41,0.000185,5.493000,get
42,0.000189,3.476000,get
43,0.000190,0.894000,get
44,0.000191,0.875000,get
45,0.000192,0.867000,get
46,0.000193,0.917000,get
47,0.000195,1.068000,get
48,0.000196,0.893000,get
49,0.000197,0.890000,get
50,0.000198,0.922000,get
51,0.000202,4.116000,get
52,0.000205,1.885000,get
53,0.000207,0.985000,get
54,0.000208,0.857000,get
55,0.000214,5.702000,get
56,0.000215,1.271000,get
57,0.000216,0.883000,get
58,0.000218,1.345000,get
59,0.000219,0.904000,get
60,0.000220,0.853000,get
61,0.000225,4.081000,get
62,0.000226,0.989000,get
63,0.000227,1.127000,get
64,0.000228,0.880000,get
65,0.000229,0.942000,get
66,0.000242,11.929000,get
67,0.000243,0.973000,get
68,0.000249,5.415000,get
69,0.000251,1.333000,get
70,0.000256,4.412000,get
71,0.000269,13.038000,get
