op_index,elapsed_s,latency_us,op
0,0.000046,34.217000,get
1,0.000064,17.362000,get
2,0.000070,5.398000,get
3,0.000072,1.969000,get
4,0.000079,6.442000,get
5,0.000079,0.264000,get
6,0.000085,5.764000,get
7,0.000087,1.502000,get
8,0.000093,5.239000,get
9,0.000104,10.389000,get
10,0.000110,5.317000,get
11,0.000115,5.203000,get
12,0.000121,5.299000,get
13,0.000123,2.031000,get
14,0.000126,2.838000,get
15,0.000129,2.256000,get
16,0.000129,0.115000,get
17,0.000129,0.102000,get
18,0.000134,4.460000,get
19,0.000134,0.116000,get
20,0.000135,0.090000,get
21,0.000144,8.215000,get
22,0.000146,1.861000,get
23,0.000148,1.774000,get
24,0.000148,0.094000,get
25,0.000148,0.102000,get
26,0.000155,5.953000,get
27,0.000171,15.292000,get
28,0.000171,0.083000,get
29,0.000173,1.751000,get
30,0.000175,1.825000,get
31,0.000177,2.094000,get
32,0.000183,5.737000,get
33,0.000184,0.101000,get
34,0.000184,0.086000,get
35,0.000189,4.899000,get
36,0.000190,0.123000,get
37,0.000190,0.088000,get
38,0.000190,0.088000,get
39,0.000195,4.186000,get
40,0.000195,0.105000,get
41,0.000195,0.101000,get
42,0.000195,0.085000,get
43,0.000198,1.872000,get
44,0.000198,0.090000,get
45,0.000201,2.649000,get
46,0.000207,5.674000,get
47,0.000207,0.085000,get
48,0.000213,5.888000,get
49,0.000214,0.101000,get
50,0.000219,5.186000,get
51,0.000221,1.775000,get
52,0.000234,12.052000,get
53,0.000237,1.825000,get
54,0.000239,2.019000,get
55,0.000239,0.095000,get
56,0.000239,0.085000,get
57,0.000240,0.084000,get
58,0.000246,6.092000,get
59,0.000264,16.854000,get
60,0.000266,2.103000,get
61,0.000268,2.104000,get
62,0.000269,0.107000,get
63,0.000278,8.300000,get
64,0.000278,0.088000,get
65,0.000278,0.106000,get
66,0.000278,0.080000,get
67,0.000292,12.784000,get
68,0.000305,12.344000,get
69,0.000305,0.087000,get
70,0.000305,0.112000,get
71,0.000306,0.098000,get
72,0.000320,13.342000,get
73,0.000350,28.882000,get
74,0.000351,1.706000,get
75,0.000352,0.169000,get
76,0.000354,1.682000,get
77,0.000354,0.088000,get
78,0.000354,0.091000,get
79,0.000369,14.430000,get
80,0.000385,14.731000,get
81,0.000385,0.090000,get
82,0.000385,0.091000,get
83,0.000386,0.090000,get
84,0.000393,6.286000,get
85,0.000394,1.604000,get
86,0.000397,2.488000,get
87,0.000397,0.092000,get
88,0.000398,0.084000,get
89,0.000398,0.152000,get
90,0.000398,0.092000,get
91,0.000399,0.093000,get
92,0.000399,0.091000,get
93,0.000401,1.860000,get
94,0.000406,4.124000,get
95,0.000408,1.841000,get
96,0.000408,0.088000,get
97,0.000413,4.691000,get
98,0.000417,3.968000,get
99,0.000419,2.063000,get
100,0.000420,0.094000,get
101,0.000420,0.121000,get
102,0.000420,0.092000,get
103,0.000435,13.120000,get
104,0.000438,3.019000,get
105,0.000438,0.094000,get
106,0.000439,0.085000,get
107,0.000441,1.766000,get
108,0.000441,0.097000,get
109,0.000441,0.082000,get
110,0.000441,0.069000,get
111,0.000442,0.074000,get
112,0.000443,1.330000,get
113,0.000444,0.071000,get
114,0.000445,1.633000,get
115,0.000450,4.285000,get
116,0.000450,0.073000,get
117,0.000451,0.077000,get
118,0.000453,1.556000,get
119,0.000454,1.531000,get
120,0.000455,0.088000,get
121,0.000456,1.432000,get
122,0.000458,1.594000,get
123,0.000463,4.042000,get
124,0.000465,1.760000,get
125,0.000467,1.798000,get
126,0.000469,1.358000,get
127,0.000470,1.590000,get
128,0.000471,0.106000,get
129,0.000473,1.591000,get
130,0.000473,0.083000,get
131,0.000473,0.086000,get
132,0.000475,1.394000,get
133,0.000475,0.129000,get
134,0.000475,0.087000,get
135,0.000476,0.073000,get
136,0.000478,1.959000,get
137,0.000480,1.698000,get
138,0.000480,0.116000,get
139,0.000493,12.627000,get
140,0.000500,6.161000,get
141,0.000506,5.861000,get
142,0.000507,0.115000,get
143,0.000507,0.093000,get
144,0.000507,0.098000,get
145,0.000509,1.672000,get
146,0.000510,0.097000,get
147,0.000510,0.092000,get
148,0.000515,4.876000,get
149,0.000516,0.096000,get
150,0.000516,0.084000,get
151,0.000516,0.087000,get
152,0.000518,1.973000,get
153,0.000521,2.451000,get
154,0.000521,0.092000,get
155,0.000522,0.084000,get
156,0.000532,9.963000,get
157,0.000533,0.096000,get
158,0.000534,1.524000,get
159,0.000535,0.116000,get
160,0.000537,2.229000,get
161,0.000539,1.561000,get
162,0.000539,0.218000,get
163,0.000555,14.650000,get
164,0.000555,0.097000,get
165,0.000555,0.093000,get
166,0.000557,1.687000,get
167,0.000558,0.103000,get
168,0.000564,5.863000,get
169,0.000565,0.094000,get
170,0.000565,0.091000,get
171,0.000582,16.107000,get
172,0.000584,1.953000,get
173,0.000586,2.178000,get
174,0.000587,0.095000,get
175,0.000588,1.356000,get
176,0.000594,4.885000,get
177,0.000594,0.089000,get
178,0.000594,0.091000,get
179,0.000595,0.096000,get
180,0.000595,0.091000,get
181,0.000595,0.090000,get
182,0.000597,1.488000,get
183,0.000599,1.973000,get
184,0.000599,0.107000,get
185,0.000601,1.442000,get
186,0.000601,0.089000,get
187,0.000606,4.612000,get
188,0.000607,0.090000,get
189,0.000612,4.390000,get
190,0.000623,10.562000,get
191,0.000628,4.703000,get
192,0.000633,4.546000,get
193,0.000633,0.227000,get
194,0.000635,1.755000,get
195,0.000637,1.893000,get
196,0.000638,0.104000,get
197,0.000642,3.642000,get
198,0.000645,2.631000,get
199,0.000648,2.277000,get
200,0.000649,1.403000,get
201,0.000656,6.336000,get
202,0.000656,0.106000,get
203,0.000657,0.086000,get
204,0.000659,2.144000,get
205,0.000661,1.553000,get
206,0.000661,0.089000,get
207,0.000663,1.492000,get
208,0.000663,0.084000,get
209,0.000668,4.324000,get
210,0.000671,2.930000,get
211,0.000673,1.789000,get
212,0.000674,0.105000,get
213,0.000674,0.086000,get
214,0.000676,1.588000,get
215,0.000678,1.464000,get
216,0.000678,0.095000,get
217,0.000678,0.091000,get
218,0.000683,4.161000,get
219,0.000684,0.783000,get
220,0.000686,2.026000,get
221,0.000688,1.674000,get
