mode,mixed
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task3_scan_block
num_keys,2200000
load_keys,2200000
run_ops,50000
value_size,1024
write_buffer_size,16777216
block_size,4096
block_cache_size,268435456
bloom_bits,-1
fill_cache,1
use_kv_cache,0
kv_cache_capacity,0
range_length,32
run_pattern,zipf
zipf_skew,1.2
total_ops,50000
get_ops,0
put_ops,0
scan_ops,50000
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,0.434989
qps,114946
p50_us,7.551
p90_us,9.629
p99_us,19.727
p999_us,27.537
