op_index,elapsed_s,latency_us,op
0,0.000088,74.248000,scan
1,0.000108,18.518000,scan
2,0.000122,13.862000,scan
3,0.000134,10.841000,scan
4,0.000157,22.558000,scan
5,0.000166,8.582000,scan
6,0.000174,7.471000,scan
7,0.000188,13.474000,scan
8,0.000195,7.352000,scan
9,0.000206,10.057000,scan
10,0.000214,7.341000,scan
11,0.000221,7.345000,scan
12,0.000229,7.260000,scan
13,0.000237,7.331000,scan
14,0.000256,19.129000,scan
15,0.000264,7.465000,scan
16,0.000281,16.209000,scan
17,0.000291,9.915000,scan
18,0.000299,7.365000,scan
19,0.000308,8.769000,scan
20,0.000316,7.287000,scan
21,0.000324,7.311000,scan
22,0.000331,7.344000,scan
23,0.000354,21.364000,scan
24,0.000362,7.567000,scan
25,0.000369,7.505000,scan
26,0.000384,13.733000,scan
27,0.000392,7.370000,scan
28,0.000408,15.043000,scan
29,0.000415,7.391000,scan
30,0.000423,7.365000,scan
31,0.000437,13.171000,scan
32,0.000444,7.341000,scan
33,0.000452,7.469000,scan
34,0.000475,22.251000,scan
35,0.000483,7.461000,scan
36,0.000491,7.344000,scan
37,0.000503,12.061000,scan
38,0.000511,7.522000,scan
39,0.000519,7.303000,scan
40,0.000526,7.356000,scan
41,0.000550,23.610000,scan
42,0.000558,7.746000,scan
43,0.000566,7.672000,scan
44,0.000574,7.687000,scan
45,0.000592,16.711000,scan
46,0.000600,7.708000,scan
47,0.000608,7.701000,scan
48,0.000616,7.782000,scan
49,0.000624,7.617000,scan
50,0.000632,7.657000,scan
51,0.000646,13.594000,scan
52,0.000654,7.715000,scan
53,0.000670,15.231000,scan
54,0.000695,24.226000,scan
55,0.000703,7.917000,scan
56,0.000711,7.724000,scan
57,0.000724,12.465000,scan
58,0.000732,7.623000,scan
59,0.000740,7.774000,scan
60,0.000755,13.873000,scan
61,0.000763,7.826000,scan
62,0.000778,14.707000,scan
63,0.000787,7.800000,scan
64,0.000802,15.361000,scan
65,0.000815,12.147000,scan
66,0.000823,7.687000,scan
67,0.000831,7.799000,scan
68,0.000839,7.680000,scan
69,0.000847,7.752000,scan
70,0.000855,7.734000,scan
71,0.000863,7.622000,scan
72,0.000881,17.112000,scan
73,0.000889,7.810000,scan
74,0.000911,21.294000,scan
75,0.000920,7.801000,scan
76,0.000928,7.621000,scan
77,0.000936,7.717000,scan
78,0.000948,12.340000,scan
79,0.000957,7.826000,scan
80,0.000965,7.676000,scan
81,0.000973,7.815000,scan
82,0.000984,10.865000,scan
83,0.000992,7.755000,scan
84,0.001002,9.216000,scan
85,0.001010,7.814000,scan
86,0.001018,7.707000,scan
87,0.001026,7.752000,scan
88,0.001034,7.675000,scan
89,0.001050,14.789000,scan
90,0.001058,7.676000,scan
91,0.001066,7.889000,scan
92,0.001074,7.683000,scan
