mode,mixed
db_path,/home/ubuntu14/lhp/计算机系统前沿/lab2/db_storage/task3_scan_kv
num_keys,2200000
load_keys,2200000
run_ops,50000
value_size,1024
write_buffer_size,16777216
block_size,4096
block_cache_size,1
bloom_bits,-1
fill_cache,0
use_kv_cache,1
kv_cache_capacity,268435456
range_length,32
run_pattern,zipf
zipf_skew,1.2
total_ops,50000
get_ops,0
put_ops,0
scan_ops,50000
not_found,0
kv_cache_hits,0
kv_cache_misses,0
total_seconds,0.419624
qps,119154
p50_us,7.295
p90_us,9.257
p99_us,18.27
p999_us,27.885
