op_index,elapsed_s,latency_us,op
0,0.000099,87.202000,scan
1,0.000109,10.049000,scan
2,0.000123,12.828000,scan
3,0.000131,7.867000,scan
4,0.000139,7.882000,scan
5,0.000171,31.363000,scan
6,0.000186,14.057000,scan
7,0.000200,13.753000,scan
8,0.000209,7.927000,scan
9,0.000223,14.049000,scan
10,0.000245,21.177000,scan
11,0.000254,8.016000,scan
12,0.000262,7.851000,scan
13,0.000277,14.952000,scan
14,0.000299,21.691000,scan
15,0.000308,8.328000,scan
16,0.000316,7.786000,scan
17,0.000324,7.789000,scan
18,0.000342,16.818000,scan
19,0.000350,8.034000,scan
20,0.000359,7.945000,scan
21,0.000380,20.330000,scan
22,0.000391,10.725000,scan
23,0.000407,14.946000,scan
24,0.000415,8.145000,scan
25,0.000424,7.816000,scan
26,0.000432,7.877000,scan
27,0.000456,22.581000,scan
28,0.000464,8.014000,scan
29,0.000480,15.801000,scan
30,0.000496,15.148000,scan
31,0.000518,20.813000,scan
32,0.000539,20.525000,scan
33,0.000547,8.030000,scan
34,0.000560,12.652000,scan
35,0.000574,13.214000,scan
36,0.000582,7.827000,scan
37,0.000590,7.825000,scan
38,0.000598,7.863000,scan
39,0.000606,7.746000,scan
40,0.000614,7.719000,scan
41,0.000628,13.331000,scan
42,0.000636,7.794000,scan
43,0.000645,8.434000,scan
44,0.000667,20.787000,scan
45,0.000691,23.708000,scan
46,0.000700,8.009000,scan
47,0.000708,7.836000,scan
48,0.000716,7.810000,scan
49,0.000724,7.707000,scan
50,0.000747,22.464000,scan
51,0.000755,7.846000,scan
52,0.000763,7.736000,scan
53,0.000772,7.929000,scan
54,0.000780,7.778000,scan
55,0.000788,7.756000,scan
56,0.000796,7.964000,scan
57,0.000809,12.599000,scan
58,0.000817,7.879000,scan
59,0.000827,9.347000,scan
60,0.000835,7.690000,scan
61,0.000843,7.672000,scan
62,0.000860,16.248000,scan
63,0.000868,7.895000,scan
64,0.000876,7.761000,scan
65,0.000892,15.707000,scan
66,0.000901,8.107000,scan
67,0.000909,7.815000,scan
68,0.000925,15.809000,scan
69,0.000934,7.810000,scan
70,0.000957,21.900000,scan
71,0.000965,7.868000,scan
72,0.000973,7.851000,scan
73,0.000981,7.775000,scan
74,0.000989,7.740000,scan
75,0.001004,13.932000,scan
76,0.001012,7.900000,scan
77,0.001020,7.887000,scan
78,0.001028,7.826000,scan
79,0.001036,7.729000,scan
80,0.001044,7.796000,scan
81,0.001055,10.572000,scan
82,0.001065,9.705000,scan
83,0.001073,7.865000,scan
84,0.001082,7.752000,scan
85,0.001090,7.819000,scan
86,0.001098,7.711000,scan
87,0.001106,7.725000,scan
88,0.001114,7.872000,scan
89,0.001122,7.793000,scan
90,0.001130,7.984000,scan
91,0.001145,13.942000,scan
92,0.001153,7.891000,scan
93,0.001161,7.793000,scan
94,0.001169,7.687000,scan
95,0.001177,7.809000,scan
96,0.001185,7.694000,scan
97,0.001213,26.740000,scan
98,0.001224,10.930000,scan
99,0.001232,7.726000,scan
100,0.001240,7.537000,scan
101,0.001248,7.546000,scan
102,0.001256,7.607000,scan
103,0.001264,7.593000,scan
104,0.001279,14.655000,scan
105,0.001287,7.663000,scan
106,0.001295,7.684000,scan
107,0.001307,11.902000,scan
108,0.001315,7.594000,scan
109,0.001323,7.490000,scan
110,0.001348,23.823000,scan
111,0.001363,15.360000,scan
112,0.001371,7.785000,scan
113,0.001380,7.686000,scan
114,0.001387,7.649000,scan
115,0.001414,15.531000,scan
116,0.001425,10.538000,scan
117,0.001439,13.428000,scan
118,0.001447,7.349000,scan
119,0.001454,7.396000,scan
120,0.001462,7.266000,scan
121,0.001469,7.381000,scan
122,0.001482,12.009000,scan
123,0.001490,7.363000,scan
124,0.001497,7.623000,scan
125,0.001513,15.280000,scan
126,0.001527,13.477000,scan
127,0.001535,7.247000,scan
128,0.001543,7.326000,scan
129,0.001551,7.495000,scan
130,0.001558,7.251000,scan
131,0.001570,11.934000,scan
132,0.001581,9.761000,scan
133,0.001596,15.139000,scan
134,0.001604,7.427000,scan
135,0.001614,10.050000,scan
136,0.001622,7.299000,scan
137,0.001630,7.178000,scan
138,0.001640,9.837000,scan
139,0.001648,7.346000,scan
140,0.001655,7.291000,scan
141,0.001663,7.198000,scan
142,0.001670,7.335000,scan
143,0.001678,7.297000,scan
144,0.001685,7.271000,scan
145,0.001712,26.023000,scan
146,0.001720,7.322000,scan
147,0.001727,7.230000,scan
148,0.001735,7.447000,scan
149,0.001743,7.345000,scan
150,0.001751,7.435000,scan
151,0.001758,7.251000,scan
152,0.001766,7.342000,scan
153,0.001773,7.221000,scan
