arg1,relation,arg2
ConfidentialC4,A64InstructionSetEncoding,InstructionDetails
counter,incremented,AArch32
SVEInstructionDescriptions,product_i,esize
CRm,op2,instructions
pointInstructionDescriptions,replicate,pointinstructions
PSTATE,masked,PSTATE
pointinstructions,see,pointInstructionDescriptions
bits,imm,elements
bits,return,level
bits,areal,value
D14.3Commoneventnumbers,Instructionarchitecturallyexecuted,Thecountercountseach
ARMDDI0487,given,implementation
Non,C3.7Dataprocessing,register
integer,auth_combined,if!IsFeatureImplemented
table,level-2.FEAT_D128isimplemented,table
counter,reloads,event
pointinstructions,A64AdvancedSIMDandFloating,UInt
registers,-mapped,values
registers,Floating,ESize
Applieswhen,FNMADD,if!IsFeatureImplemented
bits,esize,bits
Z[d,result,IfPSTATE.DITis1
AArch64,assert,accdesc
Formoreinformation,see,Architecture
operation,isapplied,bits
elements,=,DIV
bits,result,Zeros
Decodeforallvariantsofthisencoding,SEE,ZeroExtend
DIV,encodedas“Zn”times,elements
Decodeforthisencoding,op1_unsigned,if!IsFeatureImplemented
operand2,esize,Elem
bits,datasize,bits
access,matches,entry
esize,offset,if!IsFeatureImplemented
Non,F3.1T32instructionsetencoding,Table
DIV,esize,bits
EL2,implemented,state
UInt,Decodeforallvariantsofthisencoding,integer
mode,encoding,level
elements,F6.1AlphabeticallistofAdvancedSIMDandfloating,pointInstructionDescriptions
Non,elsif,HaveEL
Decodeforthisencoding,op1_unsigned,C9.2AlphabeticallistofSMEinstructions
Configuration,ItisIMPLEMENTATIONDEFINEDwhetherCNTP_CVALisimplementedintheCorepowerdomainorintheDebug,Formoreinformation
regime,if!AArch64.S1DCacheEnabled,regime
ZeroExtend,offset,accdesc
Decodeforallvariantsofthisencoding,integer,if!IsFeatureImplemented
Zeros,=,PSTATE
architecture,require,instruction
PSTATE,ignoring,value
bits,ifIsD128Enabled,PSTATE
state,generated,exception
PL,encodedin“i1,esize
bits,esize,result
implementation,generates,example
operation,CLREXare,instructions
bits,assert,result
memory,accesses,access
event,implemented,event
AArch64,elsif,PSTATE
boolean,op1_unsigned,if!IsFeatureImplemented
EL2,using,AArch32
CRm,op2,AccessestothisregisterusethefollowingencodingsintheSystemregisterencodingspace
exceptions,setting,instruction
boolean,return,return
integer,NumWatchpointsImplemented,integer
counter,change,mode
Forexample,know,memory
AArch32,elsif,PSTATE
integer,offset,if!IsFeatureImplemented
value,held,register
Decodeforallvariantsofthisencoding,riant,Applieswhen
elements,offset,bits
T32andA32BaseInstructionSetInstructionDescriptions,"IfCPSR.DITis1,thetimingofthisinstructionisinsensitivetothevalueofthedatabeingloadedorstored",address
