arg1,relation,arg2
the exception,be result of,a situation
;,return,;
a pe,buffer,instructions
rw,ro,armddi0487 l.acopyright©2013-2024armlimitedoritsaffiliates
0x0ac edpcsr externaldebugprogramcountersampleregister,ro,0x0ac edpcsr externaldebugprogramcountersampleregister
the exception,take to,an exception level
the pe,exit,debug state
el3,use for,exceptions
#,ro,# #
el2,use,aarch32
el2,provide,traps
the instruction,execute at,el0
el3,use,aarch32
debug state,set,the event
el3,implement,el3
update totranslation table,walk,armddi0487 l.acopyright©2013-2024armlimitedoritsaffiliates
# # # #,ro,# #
#,unallocate,# #
the instruction,cause,the exception
y,be,#
exceptions,take to,hyp mode
aarch32 state,be subject to,#
the pe,take exception to,el3
el0,be,el1
el1,be higher priority than,an exception
n,be,#
the architecture,permit,a pe
el1,use,aarch64
constant bits,result,;
the instruction,generate,the event
el2,use,aarch64
elsif pstate,return,;
el3,use,aarch64
relatedencodings,see,advancedsimdoneregisterandmodifiedimmediate
debug exceptions,enable from,el1
an implementation,include,el3
"thisregisterispresentonlywhenfeat_eteisimplemented ,systemregisteraccesstothetraceunitregistersis",implement,#
an implementation,include,el2
this field,be,#
isfeatureimplemented,undefine,armddi0487 l.acopyright©2013-2024armlimitedoritsaffiliates
elsif pstate,undefine,elsif pstate
the address,hold in,this field
aarch32,use,aarch64
isfeatureimplemented,reserve,=true ;
#,8bit,#
the pe,be in,debug state
the pe,enter,debug state
the exception,result from,a situation
debug exceptions,route to,el2
=,suspend execution until,#
an exception level,be higher than,el0
the fault,take to,hyp mode
