R型指令, 是, 处理器指令类型
R型指令, 设计目标, 高效执行寄存器间运算
R型指令, 特点, 不涉及内存操作
R型指令, 格式, "操作码 目标寄存器, 源寄存器1, 源寄存器2 [移位/扩展操作]"
ADD,属于,R型指令
ADD,属于,算术运算指令
SUB,属于,R型指令
SUB,属于,算术运算指令
ADC,属于,R型指令
ADC,属于,算术运算指令
AND,属于,R型指令
AND,属于,逻辑运算指令
ORR,属于,R型指令
ORR,属于,逻辑运算指令
EOR,属于,R型指令
EOR,属于,逻辑运算指令
BIC,属于,R型指令
BIC,属于,逻辑运算指令
LSL,属于,R型指令
LSL,属于,移位指令
LSR,属于,R型指令
LSR,属于,移位指令
ASR,属于,R型指令
ASR,属于,移位指令
ROR,属于,R型指令
ROR,属于,移位指令
MOV,属于,R型指令
MOV,属于,特殊功能指令
CLZ,属于,R型指令
CLZ,属于,特殊功能指令
REV,属于,R型指令
REV,属于,特殊功能指令
CMP,属于,R型指令
CMP,属于,特殊功能指令

